row_index,year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,source_table,source_page,confidence,is_valid,quality_flags,valid,missing_party,missing_group_type,missing_vote_share,invalid_vote_share,duplicate_key,low_confidence,needs_manual_review
37,2019,post_poll,national,,caste,,Regional,3.7,2019_post_poll_table_109.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
38,2019,post_poll,national,,caste,,Regional,1.9,2019_post_poll_table_110.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
39,2019,post_poll,national,,caste,,Regional,2.0,2019_post_poll_table_111.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
40,2019,post_poll,national,,caste,,Regional,2.1,2019_post_poll_table_112.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
41,2019,post_poll,national,,caste,,Regional,1.8,2019_post_poll_table_114.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
42,2019,post_poll,national,,religion,,Others,100.0,2019_post_poll_table_115.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
43,2019,post_poll,national,,caste,,Regional,1.9,2019_post_poll_table_116.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
44,2019,post_poll,national,,gender,,Regional,2.0,2019_post_poll_table_117.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
45,2019,post_poll,national,,religion,Valid,INDIA,27.9,2019_post_poll_table_118.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
46,2019,post_poll,national,,religion,,Others,60.0,2019_post_poll_table_118.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
47,2019,post_poll,national,,religion,,Regional,90.0,2019_post_poll_table_118.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
48,2019,post_poll,national,,caste,,Regional,4.5,2019_post_poll_table_119.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
49,2019,post_poll,national,,caste,,Regional,4.1,2019_post_poll_table_120.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
50,2019,post_poll,national,,caste,,Regional,4.4,2019_post_poll_table_122.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
51,2019,post_poll,national,,caste,,Regional,4.7,2019_post_poll_table_123.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
52,2019,post_poll,national,,caste,,Regional,4.3,2019_post_poll_table_124.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
53,2019,post_poll,national,,caste,,Regional,4.5,2019_post_poll_table_126.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
54,2019,post_poll,national,,caste,,Regional,5.0,2019_post_poll_table_127.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
55,2019,post_poll,national,,caste,,Regional,4.2,2019_post_poll_table_128.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
56,2019,post_poll,national,,caste,,Regional,4.7,2019_post_poll_table_129.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
57,2019,post_poll,national,,caste,,Regional,5.3,2019_post_poll_table_130.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
58,2019,post_poll,national,,caste,,Regional,4.6,2019_post_poll_table_132.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
59,2019,post_poll,national,,caste,,Regional,4.7,2019_post_poll_table_133.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
60,2019,post_poll,national,,caste,,Regional,5.1,2019_post_poll_table_134.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
61,2019,post_poll,national,,caste,,Regional,4.8,2019_post_poll_table_135.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
62,2019,post_poll,national,,caste,,Regional,5.3,2019_post_poll_table_137.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
63,2019,post_poll,national,,caste,,Regional,5.4,2019_post_poll_table_138.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
64,2019,post_poll,national,,caste,,Regional,4.8,2019_post_poll_table_139.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
65,2019,post_poll,national,,caste,,Regional,4.8,2019_post_poll_table_140.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
66,2019,post_poll,national,,caste,,Regional,7.1,2019_post_poll_table_141.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
67,2019,post_poll,national,,caste,,Regional,4.2,2019_post_poll_table_143.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
68,2019,post_poll,national,,caste,,Regional,2.0,2019_post_poll_table_144.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
69,2019,post_poll,national,,caste,Valid,INC,7.9,2019_post_poll_table_145.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
70,2019,post_poll,national,,caste,,Regional,2.1,2019_post_poll_table_145.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
71,2019,post_poll,national,,caste,,Regional,11.4,2019_post_poll_table_148.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
72,2019,post_poll,national,,caste,,Regional,4.4,2019_post_poll_table_149.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
73,2019,post_poll,national,,caste,,Regional,1.6,2019_post_poll_table_152.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
74,2019,post_poll,national,,caste,,Regional,2.7,2019_post_poll_table_153.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
75,2019,post_poll,national,,caste,,Regional,70.0,2019_post_poll_table_154.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
76,2019,post_poll,national,,caste,Valid,INC,17.8,2019_post_poll_table_156.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
77,2019,post_poll,national,,caste,,Regional,5.6,2019_post_poll_table_157.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
78,2019,post_poll,national,,caste,,Regional,4.9,2019_post_poll_table_158.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
79,2019,post_poll,national,,age,,UPA,27.0,2019_post_poll_table_160.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
80,2019,post_poll,national,,age,,NDA,5.0,2019_post_poll_table_160.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
81,2019,post_poll,national,,caste,,INDIA,12.0,2019_post_poll_table_161.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
82,2019,post_poll,national,,caste,,Regional,3.3,2019_post_poll_table_163.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
83,2019,post_poll,national,,caste,,Regional,3.5,2019_post_poll_table_165.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
84,2019,post_poll,national,,caste,,Regional,1.4,2019_post_poll_table_166.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
85,2019,post_poll,national,,caste,,Regional,1.9,2019_post_poll_table_167.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
86,2019,post_poll,national,,caste,,Regional,1.8,2019_post_poll_table_168.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
87,2019,post_poll,national,,caste,,Regional,1.7,2019_post_poll_table_169.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
88,2019,post_poll,national,,caste,,Regional,1.7,2019_post_poll_table_170.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
89,2019,post_poll,national,,caste,,Regional,1.8,2019_post_poll_table_171.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
90,2019,post_poll,national,,caste,,Regional,1.8,2019_post_poll_table_172.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
91,2019,post_poll,national,,caste,,Regional,2.0,2019_post_poll_table_173.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
92,2019,post_poll,national,,age,,INC,5.2,2019_post_poll_table_174.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
93,2019,post_poll,national,,age,,Regional,6.9,2019_post_poll_table_174.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
94,2019,post_poll,national,,caste,,Regional,5.8,2019_post_poll_table_175.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
95,2019,post_poll,national,,caste,Valid,Regional,35.3,2019_post_poll_table_176.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
96,2019,post_poll,national,,caste,,Regional,1.8,2019_post_poll_table_177.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
97,2019,post_poll,national,,gender,,Others,10.0,2019_post_poll_table_181.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
98,2019,post_poll,national,,caste,,Others,87.0,2019_post_poll_table_184.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
99,2019,post_poll,national,,gender,,Others,60.0,2019_post_poll_table_185.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
100,2019,post_poll,national,,gender,,Regional,96.0,2019_post_poll_table_185.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
101,2019,post_poll,national,,caste,,Others,57.0,2019_post_poll_table_188.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
102,2019,post_poll,national,,gender,,Others,71.0,2019_post_poll_table_189.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
103,2019,post_poll,national,,gender,,Regional,86.0,2019_post_poll_table_189.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
104,2019,post_poll,national,,religion,,Others,60.0,2019_post_poll_table_193.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
105,2019,post_poll,national,,religion,,NDA,84.0,2019_post_poll_table_194.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
106,2019,post_poll,national,,gender,,Others,3.0,2019_post_poll_table_197.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
107,2019,post_poll,national,,gender,,NDA,100.0,2019_post_poll_table_197.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
108,2019,post_poll,national,,caste,,NDA,7.0,2019_post_poll_table_198.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
109,2019,post_poll,national,,gender,,Others,62.0,2019_post_poll_table_201.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
110,2019,post_poll,national,,caste,,Others,43.6,2019_post_poll_table_202.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
111,2019,post_poll,national,,religion,,Others,3.4,2019_post_poll_table_207.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
112,2019,post_poll,national,,gender,,Others,10.0,2019_post_poll_table_213.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
113,2019,post_poll,national,,other,Valid,INC,6.0,2019_post_poll_table_248.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
114,2019,post_poll,national,,caste,,INC,63.0,2019_post_poll_table_305.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
115,2019,post_poll,national,,caste,,BJP,2.0,2019_post_poll_table_305.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
116,2019,post_poll,national,,caste,,Others,5.0,2019_post_poll_table_305.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
117,2019,post_poll,national,,caste,,Regional,97.0,2019_post_poll_table_305.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
118,2019,post_poll,national,,religion,,BJP,30.7,2019_post_poll_table_308.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
119,2019,post_poll,national,,religion,,Others,1.4,2019_post_poll_table_308.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
120,2019,post_poll,national,,religion,,Regional,46.0,2019_post_poll_table_308.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
121,2019,post_poll,national,,gender,,Others,33.0,2019_post_poll_table_422.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
122,2019,post_poll,national,,gender,,Regional,18.0,2019_post_poll_table_422.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
123,2019,post_poll,national,,gender,,INC,32.0,2019_post_poll_table_448.csv,,medium,False,low_confidence|needs_manual_review,False,False,False,False,False,False,True,True
124,2019,post_poll,national,,gender,,Regional,100.0,2019_post_poll_table_448.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
125,2019,post_poll,national,,gender,,Others,0.0,2019_post_poll_table_448.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
126,2019,post_poll,national,,religion,,Others,100.0,2019_post_poll_table_460.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
127,2019,post_poll,national,,religion,,Regional,28.0,2019_post_poll_table_460.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
