state,party_id,swing
Assam,NRCONG,-0.13440880890806356
Assam,SP,-0.1351093149453127
Assam,AIFB,-0.186165777494629
Assam,SUCI(C),-0.20229800456831146
Assam,AJM,-0.20952762474500508
Assam,RPI(A),-0.22961656585711598
Assam,SWABP,-0.2330252977025746
Assam,PUJP,-0.2931849805589792
Assam,HND,-0.29587990943512354
Assam,NCP,-0.44869159280669235
Assam,CPI,-0.5542851047090389
Assam,ADRP,-0.6454558273715341
Assam,BMUP,-0.6825511839550755
Assam,NPEP,-0.7158795227955108
Assam,IND,-0.79972470320956
Assam,ASDC,-4.565110786208386
Assam,AGP,-9.960609900636348
Assam,AIUDF,-17.644268226786313
Bihar,LJPRV,51.47048897309783
Bihar,RSHTLKM,24.609496926187795
Bihar,CPIM,16.353523155651892
Bihar,CPI(ML)(L),13.366661617127011
Bihar,CPI,10.402190376064192
Bihar,RJD,10.114095173521873
Bihar,VSIP,6.3240234469506715
Bihar,INC,5.268108841339664
Bihar,SANKISVP,2.2100118579181967
Bihar,RJKPS,1.8358706236215667
Bihar,ALHP,1.623232781332823
Bihar,RJNJNP,1.4278612879172656
Bihar,MIMM,1.3026300723929911
Bihar,HVD,1.23079524493557
Bihar,ASPKR,1.219062831834312
Bihar,SMJDRP,0.9216372722049772
Bihar,BRTYLKNYKP,0.8896633126857432
Bihar,BJNJGD,0.8893282904342029
Bihar,AIMIM,0.8762560743950152
Bihar,SMJSKTP,0.859509724011172
Bihar,RSTRSNTP,0.8390547570175371
Bihar,IND,0.8227148293223374
Bihar,VKVIP,0.7415751875626265
Bihar,GNASURKP,0.6712862506271234
Bihar,LSNP,0.6680738904836745
Bihar,PRCP,0.6527035786932517
Bihar,BRRTD,0.6314044704414845
Bihar,BHJJP,0.5411652636772265
Bihar,RJBP,0.504356859212677
Bihar,HNDPPD,0.48729933153966665
Bihar,BGDRPP,0.48007282702643395
Bihar,AMIP,0.4785622955766214
Bihar,KPJD,0.46115068424745725
Bihar,BKVP,0.4482646250398925
Bihar,BHAGP,0.4395323929539913
Bihar,JNJWDIP,0.43401060521689555
Bihar,JRJP,0.3901735864160312
Bihar,LSWP,0.38155233352869966
Bihar,TNRMPI,0.3666501703542769
Bihar,BHRTSP,0.3615982717666442
Bihar,SUCI,0.35641661504197025
Bihar,AKBRPRVP,0.34673250718855225
Bihar,SAP,0.3393455717620168
Bihar,NBEP,0.3359889128027941
Bihar,RGD,0.3143607421896106
Bihar,RSPS,0.2924828853016925
Bihar,DJHP,0.2563604613671359
Bihar,INL,0.2205023101954227
Bihar,PMS,0.2156620641865529
Bihar,JNTRAAWJP,0.2154691500764259
Bihar,CCP,0.2040423146980524
Bihar,PBLBRP,0.1988438824481196
Bihar,RSTJLKPS,0.1912342313833886
Bihar,BHRTLKCHTP,0.184677433213748
Bihar,LLRP,0.1734894835987732
Bihar,YBS,0.1722460539208049
Bihar,SBSPSP,0.1685110760526184
Bihar,BED,0.166812203134973
Bihar,TAGRNP,0.1656688779821296
Bihar,SMJWDLKPRS,0.164280664777439
Bihar,AKNDBHRJNP,0.1595542893697419
Bihar,AJD,0.1477116882462305
Bihar,RACHEP,0.13501475060313547
Bihar,HMSP,0.1312089514746374
Bihar,HJPS,0.1165469344572803
Bihar,JNSKJNDL,0.1140805522952868
Bihar,BRMNP,0.1005610117559643
Bihar,ESBD,0.100318213688582
Bihar,PPID,0.09688361768638795
Bihar,PBI,0.09674276722355957
Bihar,BSP,0.07903407415093298
Bihar,NOTA,0.05640734271730352
Bihar,APKSP,0.04731447279429647
Bihar,BHNP,-0.1149310669357895
Bihar,LSD,-0.11880933366810092
Bihar,BDLP,-0.12265115191598674
Bihar,RJPD,-0.1311993794473481
Bihar,JKIP,-0.14615943956437688
Bihar,SABP,-0.14652807137543272
Bihar,AIFB,-0.14988544112109511
Bihar,JRVP,-0.1537820845404586
Bihar,BHAIP,-0.171046213229836
Bihar,JHP,-0.1756182292214281
Bihar,BHAMAP,-0.17598043739618052
Bihar,BMF,-0.178425101814506
Bihar,JPS,-0.179407644586752
Bihar,BJAZP,-0.1805767505940417
Bihar,BLRP,-0.18952017087097275
