election_year,election_type,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id,alliance,state,constituency_id,swing,sim_vote_share_raw,sim_vote_share,sim_rank
2024,lok_sabha,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,TDP,658914.0,49.51336809991133,1.0,True,111298.0,TDP,TDP,TDP,BASTIPATI NAGARAJU PANCHALINGALA,BASTIPATI NAGARAJU PANCHALINGALA,CAND_2024_ANDHRA_PRADESH_KURNOOLU_TDP_BASTIPATI_NAGARAJU_PANCHALINGALA,NDA,Andhra Pradesh,ANDHRA_PRADESH__KURNOOLU,0.0,49.51336809991133,49.51336809991133,1.0
2024,lok_sabha,Machilipatnam,BALASHOWRY VALLABHANENI,JnP,724439.0,55.216218852991304,1.0,True,223179.0,JnP,JNP,JNP,BALASHOWRY VALLABHANENI,BALASHOWRY VALLABHANENI,CAND_2024_ANDHRA_PRADESH_MACHILIPATNAM_JNP_BALASHOWRY_VALLABHANENI,UNKNOWN,Andhra Pradesh,ANDHRA_PRADESH__MACHILIPATNAM,0.0,55.216218852991304,55.216218852991304,1.0
2024,lok_sabha,Nandyal,DR BYREDDY SHABARI,TDP,701131.0,49.92324222560519,1.0,True,111975.0,TDP,TDP,TDP,DR BYREDDY SHABARI,DR BYREDDY SHABARI,CAND_2024_ANDHRA_PRADESH_NANDYAL_TDP_DR_BYREDDY_SHABARI,NDA,Andhra Pradesh,ANDHRA_PRADESH__NANDYAL,0.0,49.92324222560519,49.92324222560519,1.0
2024,lok_sabha,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BJP,707500.0,57.46071555037213,1.0,True,276864.0,BJP,BJP,BJP,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BHUPATHI RAJU SRINIVASA VARMA B.J.P.VARMA,CAND_2024_ANDHRA_PRADESH_NARSAPURAM_BJP_BHUPATHI_RAJU_SRINIVASA_VARMA_B_J_P_VARMA,NDA,Andhra Pradesh,ANDHRA_PRADESH__NARSAPURAM,0.0,57.46071555037213,57.46071555037213,1.0
2024,lok_sabha,Narsaraopet,LAVU SRIKRISHNA DEVARAYALU,TDP,807996.0,53.88188206077879,1.0,True,159729.0,TDP,TDP,TDP,LAVU SRIKRISHNA DEVARAYALU,LAVU SRIKRISHNA DEVARAYALU,CAND_2024_ANDHRA_PRADESH_NARSARAOPET_TDP_LAVU_SRIKRISHNA_DEVARAYALU,NDA,Andhra Pradesh,ANDHRA_PRADESH__NARSARAOPET,0.0,53.88188206077879,53.88188206077879,1.0
2024,lok_sabha,Nellore,PRABHAKAR REDDY VEMIREDDY,TDP,766202.0,55.69749260167383,1.0,True,245902.0,TDP,TDP,TDP,PRABHAKAR REDDY VEMIREDDY,PRABHAKAR REDDY VEMIREDDY,CAND_2024_ANDHRA_PRADESH_NELLORE_TDP_PRABHAKAR_REDDY_VEMIREDDY,NDA,Andhra Pradesh,ANDHRA_PRADESH__NELLORE,0.0,55.69749260167383,55.69749260167383,1.0
2024,lok_sabha,Ongole,MAGUNTA SREENIVASULU REDDY,TDP,701894.0,49.352207192447835,1.0,True,50199.0,TDP,TDP,TDP,MAGUNTA SREENIVASULU REDDY,MAGUNTA SREENIVASULU REDDY,CAND_2024_ANDHRA_PRADESH_ONGOLE_TDP_MAGUNTA_SREENIVASULU_REDDY,NDA,Andhra Pradesh,ANDHRA_PRADESH__ONGOLE,0.0,49.352207192447835,49.352207192447835,1.0
2024,lok_sabha,Rajahmundry,DAGGUBATI PURANDHESHWARI,BJP,726515.0,54.81903301675021,1.0,True,239139.0,BJP,BJP,BJP,DAGGUBATI PURANDHESHWARI,DAGGUBATI PURANDHESHWARI,CAND_2024_ANDHRA_PRADESH_RAJAHMUNDRY_BJP_DAGGUBATI_PURANDHESHWARI,NDA,Andhra Pradesh,ANDHRA_PRADESH__RAJAHMUNDRY,0.0,54.81903301675021,54.81903301675022,1.0
2024,lok_sabha,Rajampet,P V MIDHUN REDDY,YSRCP,644844.0,48.377607677470614,1.0,True,76071.0,YSRCP,YSRCP,YSRCP,P V MIDHUN REDDY,P V MIDHUN REDDY,CAND_2024_ANDHRA_PRADESH_RAJAMPET_YSRCP_P_V_MIDHUN_REDDY,OTHER,Andhra Pradesh,ANDHRA_PRADESH__RAJAMPET,0.0,48.377607677470614,48.37760767747061,1.0
2024,lok_sabha,Srikakulam,KINJARAPU RAMMOHAN NAIDU,TDP,754328.0,61.04528173014827,1.0,True,327901.0,TDP,TDP,TDP,KINJARAPU RAMMOHAN NAIDU,KINJARAPU RAMMOHAN NAIDU,CAND_2024_ANDHRA_PRADESH_SRIKAKULAM_TDP_KINJARAPU_RAMMOHAN_NAIDU,NDA,Andhra Pradesh,ANDHRA_PRADESH__SRIKAKULAM,0.0,61.04528173014827,61.04528173014828,1.0
