state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped,max_positive_swing,max_negative_swing,avg_abs_swing,swing_range,top2_margin_pct,effective_num_parties,winner_vote_share,margin_votes,winner_vote_share_change,flip_score,close_margin_score,fragmentation_score,swing_score,volatility_score
Kerala,KERALA__ALATHUR,KERALA__ALATHUR,Alathur,INC,RAMYA HARIDAS,52.39937844971696,Kerala,KERALA__ALATHUR,Alathur,CPIM,K.RADHAKRISHNAN,40.659075975442114,Kerala,Alathur,True,18.96967351562279,-13.767073467595196,5.792479154223586,32.736746983217984,2.0267709933203477,2.8513794880022427,40.659075975442114,20111.0,-11.740302474274849,40,17.973229006679652,14.256897440011214,11.584958308447172,83.81508475513803
Punjab,PUNJAB__ANANDPUR_SAHIB,PUNJAB__ANANDPUR_SAHIB,Anandpur Sahib,INC,Manish Tewari,39.57052010350116,Punjab,PUNJAB__ANANDPUR_SAHIB,Anandpur Sahib,AAAP,MALVINDER SINGH KANG,29.07903739870006,Punjab,Anandpur Sahib,True,24.1746576429946,-24.28717230266992,0.6649065026393584,48.46182994566452,1.0069416399055695,4.694728924289731,29.07903739870006,10846.0,-10.4914827048011,40,18.99305836009443,23.473644621448656,1.3298130052787167,83.7965159868218
Uttar Pradesh,UTTAR_PRADESH__DHAURAHRA,UTTAR_PRADESH__DHAURAHRA,Dhaurahra,BJP,REKHA VERMA,48.212607158971274,Uttar Pradesh,UTTAR_PRADESH__DHAURAHRA,Dhaurahra,SP,ANAND BHADAURIYA,39.91043731736471,Uttar Pradesh,Dhaurahra,True,39.91043731736471,-16.433706324420598,4.787275352556937,56.34414364178531,0.4001449839771069,2.911083442293978,39.91043731736471,4449.0,-8.302169841606563,40,19.599855016022893,14.55541721146989,9.574550705113873,83.72982293260667
Bihar,BIHAR__KARAKAT,BIHAR__KARAKAT,Karakat,JDU,MAHABALI SINGH,45.85737996634431,Bihar,BIHAR__KARAKAT,Karakat,CPI(ML)(L),RAJA RAM SINGH FATHER-LATE DIPAN SINGH,36.89165950962469,Bihar,Karakat,True,34.02194756277398,-45.85737996634431,7.709281043913438,79.87932752911829,10.261356432322817,3.7123189802097327,36.89165950962469,105858.0,-8.965720456719623,40,9.738643567677183,18.561594901048664,15.418562087826876,83.71880055655272
Maharashtra,MAHARASHTRA__RATNAGIRI_-_SINDHUDURG,MAHARASHTRA__RATNAGIRI-_SINDHUDURG,Ratnagiri - sindhudurg,SHS,Vinayak Raut,50.82909592920668,Maharashtra,MAHARASHTRA__RATNAGIRI-_SINDHUDURG,Ratnagiri- Sindhudurg,BJP,NARAYAN TATU RANE,49.06951352131968,Maharashtra,Ratnagiri- Sindhudurg,True,49.06951352131968,-50.82909592920668,8.069659331536133,99.89860945052635,5.2358873482284025,2.305727497983132,49.06951352131968,47858.0,-1.7595824078870024,40,14.764112651771597,11.52863748991566,16.139318663072267,82.43206880475952
Jammu & Kashmir,JAMMU_&_KASHMIR__LADAKH,LADAKH__LADAKH,Ladakh,BJP,Jamyang Tsering Namgyal,33.9439672219322,Ladakh,LADAKH__LADAKH,Ladakh,IND,MOHMAD HANEEFA,48.15309465482129,Ladakh,Ladakh,True,24.926068568415012,-10.364379842575037,13.798905600741573,35.29044841099005,20.55872022667572,2.749806275602898,48.15309465482129,27862.0,14.20912743288909,40,0.0,13.74903137801449,27.597811201483147,81.34684257949763
Rajasthan,RAJASTHAN__BANSWARA,RAJASTHAN__BANSWARA,Banswara,BJP,KANAKMAL KATARA,49.435530756679825,Rajasthan,RAJASTHAN__BANSWARA,BANSWARA,BHRTADVSIP,RAJ KUMAR ROAT,50.14692837226578,Rajasthan,BANSWARA,True,50.14692837226578,-24.478349168415154,11.468341455438972,74.62527754068094,15.093239950832448,2.6392448326687075,50.14692837226578,247054.0,0.7113976155859589,40,4.906760049167552,13.196224163343537,22.936682910877945,81.03966712338904
Rajasthan,RAJASTHAN__BARMER,RAJASTHAN__BARMER,Barmer,BJP,KAILASH CHOUDHARY,59.51931804838881,Rajasthan,RAJASTHAN__BARMER,BARMER,INC,UMMEDA RAM BENIWAL,41.74494727943646,Rajasthan,BARMER,True,34.57652136600441,-42.533279119470194,5.9289388486883015,77.10980048547461,7.000736352159976,3.0776766375884095,41.74494727943646,118176.0,-17.774370768952352,40,12.999263647840024,15.388383187942047,11.857877697376603,80.24552453315869
Uttar Pradesh,UTTAR_PRADESH__AONLA,UTTAR_PRADESH__AONLA,Aonla,BJP,DHARMENDRA KASHYAP,51.071196196790446,Uttar Pradesh,UTTAR_PRADESH__AONLA,Aonla,SP,NEERAJ MAURYA,45.23067400376161,Uttar Pradesh,Aonla,True,45.23067400376161,-31.48499891841223,4.633034072572047,76.71567292217384,1.4665312389796623,2.4758041798662083,45.23067400376161,15969.0,-5.840522193028839,40,18.533468761020337,12.379020899331042,9.266068145144095,80.17855780549547
Maharashtra,MAHARASHTRA__DINDORI,MAHARASHTRA__DINDORI,Dindori,BJP,Dr. Bharati Pravin Pawar,49.88172790650044,Maharashtra,MAHARASHTRA__DINDORI,Dindori,NCPSP,BHASKAR MURLIDHAR BHAGARE,46.525453094906155,Maharashtra,Dindori,True,46.525453094906155,-32.40866326603266,7.6629648012778375,78.93411636093882,9.122257053291534,2.74272966754456,46.525453094906155,113199.0,-3.3562748115942824,40,10.877742946708466,13.713648337722798,15.325929602555675,79.91732088698694
