election_year,election_type,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id,alliance,state,constituency_id,swing,sim_vote_share_raw,sim_vote_share,sim_rank
2024,lok_sabha,Andaman & Nicobar Islands,SALAMAT MONDAL,SUCI,351.0,0.173321350622673,12.0,False,,SUCI,SUCI,SUCI,SALAMAT MONDAL,SALAMAT MONDAL,CAND_2024_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_SUCI_SALAMAT_MONDAL,UNKNOWN,Andaman & Nicobar Islands,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,0.0,0.173321350622673,0.17332135062267298,12.0
2024,lok_sabha,Andaman & Nicobar Islands,ANAND RAMNATH ARLEKAR,IND,342.0,0.1688772134272198,13.0,False,,IND,IND,IND,ANAND RAMNATH ARLEKAR,ANAND RAMNATH ARLEKAR,CAND_2024_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_ANAND_RAMNATH_ARLEKAR,OTHER,Andaman & Nicobar Islands,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,0.0,0.1688772134272198,0.16887721342721979,13.0
2024,lok_sabha,Amalapuram,G M HARISH (BALAYOGI),TDP,796981.0,61.25411765067565,1.0,True,342196.0,TDP,TDP,TDP,G M HARISH (BALAYOGI),G M HARISH BALAYOGI,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_TDP_G_M_HARISH_BALAYOGI,NDA,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,61.25411765067565,61.25411765067565,1.0
2024,lok_sabha,Amalapuram,RAPAKA VARAPRASADA RAO,YSRCP,454785.0,34.95372398559379,2.0,False,,YSRCP,YSRCP,YSRCP,RAPAKA VARAPRASADA RAO,RAPAKA VARAPRASADA RAO,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_YSRCP_RAPAKA_VARAPRASADA_RAO,OTHER,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,34.95372398559379,34.95372398559379,2.0
2024,lok_sabha,Amalapuram,GOUTHAM JANGA,INC,15082.0,1.1591676619737363,3.0,False,,INC,INC,INC,GOUTHAM JANGA,GOUTHAM JANGA,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_INC_GOUTHAM_JANGA,INDIA,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,1.1591676619737363,1.1591676619737363,3.0
2024,lok_sabha,Amalapuram,NOTA,NOTA,13518.0,1.0389622367432014,4.0,False,,NOTA,NOTA,NOTA,NOTA,NOTA,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_NOTA_NOTA,NONE,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,1.0389622367432014,1.0389622367432014,4.0
2024,lok_sabha,Amalapuram,DORABABU YALLA,BSP,5388.0,0.4141092270729671,5.0,False,,BSP,BSP,BSP,DORABABU YALLA,DORABABU YALLA,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_BSP_DORABABU_YALLA,OTHER,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,0.4141092270729671,0.4141092270729671,5.0
2024,lok_sabha,Amalapuram,KATRU NAGA BABU,TLGUNGP,3741.0,0.2875246136748274,6.0,False,,TLGUNGP,TLGUNGP,TLGUNGP,KATRU NAGA BABU,KATRU NAGA BABU,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_TLGUNGP_KATRU_NAGA_BABU,UNKNOWN,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,0.2875246136748274,0.2875246136748274,6.0
2024,lok_sabha,Amalapuram,VADDI LALITH KUMAR,IND,2977.0,0.2288053394573539,7.0,False,,IND,IND,IND,VADDI LALITH KUMAR,VADDI LALITH KUMAR,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_IND_VADDI_LALITH_KUMAR,OTHER,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,0.2288053394573539,0.22880533945735393,7.0
2024,lok_sabha,Amalapuram,MAKEY DAVY PRASAD,IND,2111.0,0.1622465809857152,8.0,False,,IND,IND,IND,MAKEY DAVY PRASAD,MAKEY DAVY PRASAD,CAND_2024_ANDHRA_PRADESH_AMALAPURAM_IND_MAKEY_DAVY_PRASAD,OTHER,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,0.0,0.1622465809857152,0.1622465809857152,8.0
