state,state_key,demography_match_status,demographic_state_source,seats,seat_flips,flip_rate,alliance_flips,alliance_flip_rate,close_seats_5pct,close_seat_rate_5pct,avg_top2_margin_pct,avg_effective_num_parties,avg_volatility_score,leading_party_2019,leading_party_2024,leading_alliance_2019,leading_alliance_2024,bjp_seats_2019,bjp_seats_2024,bjp_seat_change,bjp_avg_swing,inc_seats_2019,inc_seats_2024,inc_seat_change,inc_avg_swing,avg_winner_vote_share_2019,avg_winner_vote_share_2024,avg_winner_vote_share_change,median_top2_margin_pct,max_volatility_score,bjp_avg_vote_share_2019,bjp_avg_vote_share_2024,inc_avg_vote_share_2019,inc_avg_vote_share_2024,census_state_code,nfhs_state_code,population_total,population_density,urban_pct,rural_pct,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,jain_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,youth_pct,working_age_pct,elderly_pct,internet_pct,bank_account_pct,mobile_phone_pct,women_secondary_edu_pct,fertility_rate,electricity_pct,lpg_pct,improved_sanitation_pct
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,exact,ANDAMAN & NICOBAR ISLANDS,1,1,100.0,1,100.0,0,0.0,12.046574557808356,2.4560798141102276,61.84981118258216,INC,BJP,UPA,NDA,0,1,1,5.2841540318819185,1,0,-1,-7.441160106043753,45.976767520839765,50.58218197260437,4.605414451764602,12.046574557808356,61.84981118258216,45.29802794072245,50.58218197260437,45.976767520839765,38.53560741479601,35.0,,380581.0,,37.702355083411945,62.297644916588055,69.4454005848952,8.51671523276254,21.279044408417658,0.3379044145661501,0.0888115801892369,0.0081454407865868,0.0,7.496433085203938,875.9753735132177,77.32414387475991,81.02538066061685,73.09886894378482,18.42997942619311,,,,,,,,,,
Andhra Pradesh,ANDHRA PRADESH,exact,ANDHRA PRADESH,25,18,72.0,21,84.0,4,16.0,15.271243230521035,2.247909166151689,49.83829219248468,YSRCP,TDP,OTHER,NDA,0,3,3,10.781512286016818,0,0,0,1.40475817071095,49.132884231348015,54.05792881908811,4.925044587740096,15.993219270494984,68.14001778388045,0.9683168099852173,11.749829096002037,1.290453201470614,2.6952113721815643,28.0,,49386799.0,,29.583634282513433,70.41636571748657,,,,,,,17.100517083522664,5.327628138037454,996.3886832229582,60.28439300145774,66.70686651843629,53.83864183515168,,,,,,,,,,,
Arunachal Pradesh,ARUNACHAL PRADESH,exact,ARUNACHAL PRADESH,2,0,0.0,0,0.0,0,0.0,17.30110654407091,2.912870869693771,28.852108066260964,BJP,BJP,NDA,NDA,2,2,0,-9.503951863002392,0,0,0,9.498014211276828,57.69855749277663,48.19460562977423,-9.5039518630024,17.30110654407091,33.34137322945116,57.69855749277663,48.19460562977423,21.395484874426497,30.893499085703326,12.0,,1383727.0,,22.935810315185005,77.064189684815,29.043012097039373,1.954504031503324,30.261171459399144,0.2375468571473997,11.766410570871278,0.05571908331629,0.0,68.78676212865689,938.2318829211443,55.35810170647822,61.61375631730521,48.690608600882335,20.78907183281095,,,,,,,,,,
Assam,ASSAM,exact,ASSAM,14,5,35.714285714285715,6,42.857142857142854,2,14.285714285714285,17.55805766462249,2.420565613110242,37.71343214880038,BJP,BJP,NDA,NDA,9,9,0,1.61818766677794,3,3,0,0.37291688950523405,51.68447495053863,52.8504854161623,1.1660104656236712,16.157629475305193,90.18430213437446,49.78565263400596,51.4038403007839,34.7493849027246,35.122301792229834,18.0,,31205576.0,,14.095371929683337,85.90462807031668,61.46580662379056,34.222553687200005,3.7360854995914834,0.0662445711625383,0.1762281202564567,0.0831550105019692,7.150391968409749,12.447682427012404,957.7582478885868,61.45689155040753,66.30494553667904,56.39501503098394,19.156787876628204,,,,,,,,,,
Bihar,BIHAR,exact,BIHAR,40,17,42.5,12,30.0,8,20.0,9.627797569067615,2.535532443793682,46.49092927573438,BJP,BJP,NDA,NDA,17,12,-5,-6.553189128024577,1,3,2,5.268108841339664,53.267464457417546,48.755009031754355,-4.512455425663191,9.579702792427506,97.33293187165086,52.46117382788473,45.90798469986016,22.76916385075633,28.037272692095996,10.0,,104099452.0,,11.294983570134452,88.70501642986555,82.68889446219178,16.86637985375754,0.1241572337960049,0.0228425794210713,0.0244506570505289,0.0181691638492006,15.914901261920186,1.2839385552192917,917.8884795222503,50.43691584466746,58.23341238354869,41.94296836322701,16.846803381827602,,,,,,,,,,
Chandigarh,CHANDIGARH,exact,CHANDIGARH,1,1,100.0,1,100.0,1,100.0,0.5573423849535359,2.173540746128055,70.66155420562646,BJP,INC,NDA,INDIA,1,0,-1,-2.9696984888328473,0,1,1,7.875268083536362,50.636049832664575,48.223693728785264,-2.4123561038793113,0.5573423849535359,70.66155420562646,50.636049832664575,47.66635134383173,40.3484256452489,48.223693728785264,4.0,,1055450.0,,97.25320953147948,2.7467904685205364,80.7782462456772,4.87441375716519,0.8261878819460894,13.106163247903735,0.1099057274148467,0.1857027808043962,18.86266521388981,0.0,817.6636017793454,76.31228385996495,80.14046012919714,71.63043638515798,21.380643327490645,,,,,,,,,,
Chhattisgarh,CHHATTISGARH,exact,CHHATTISGARH,11,1,9.090909090909092,2,18.181818181818183,5,45.45454545454545,11.387600110859525,2.2397263761177726,26.756222403937304,BJP,BJP,NDA,NDA,9,10,1,1.915655107234813,2,1,-1,0.14311194728825913,50.76003864809256,52.39871254156176,1.6386738934691962,5.483946217719961,70.93575614285373,50.161929838209204,52.07758494544402,41.18912807953172,41.332240026819974,22.0,,25545198.0,,23.24208643832003,76.75791356167997,93.24566206141756,2.0160266520541357,1.9202904592871035,0.2741650309384957,0.2758522364947025,0.2407888950400775,12.817551854559904,30.623767331926725,990.6028998133312,60.20670499402666,68.63527676334918,51.698177741672765,19.53141643294368,,,,,,,,,,
Dadra & Nagar Haveli and Daman & Diu,DADRA & NAGAR HAVELI & DAMAN & DIU,composite_weighted_2011,DADRA & NAGAR HAVELI + DAMAN & DIU,2,2,100.0,2,100.0,0,0.0,17.372850421994873,2.4340999249932525,83.98124127947301,IND,BJP,OTHER,NDA,1,1,0,7.134785801296321,0,0,0,3.5609517315394505,44.21239936458294,52.45357613800129,8.241176773418346,17.372850421994873,95.16044966027393,41.95064836072834,49.08543416202466,17.971456702787492,21.532408434326946,,,586956.0,,58.51307423384376,41.48692576615624,92.51238593693564,5.4857604317870505,1.3515493495253477,0.06627413298441442,0.14498531406101986,0.2509557786273588,2.097261123491369,33.039444183209646,709.4514910519688,70.13064011612455,77.44000355276498,59.94857459447658,24.24423636524714,,,,,,,,,,
Goa,GOA,exact,GOA,2,0,0.0,1,50.0,1,50.0,14.227594755943446,2.310022526062305,22.568576500182715,BJP,BJP,NDA,NDA,1,1,0,-0.2570935002394634,1,1,0,-3.2682636164238126,52.29815885253508,52.39442256518378,0.0962637126486996,14.227594755943446,30.0828349709259,51.14936299785688,50.89226949761742,42.93724449323051,39.6689808768067,30.0,,1458545.0,,62.17250753319232,37.82749246680768,66.08483111594089,8.33460743412099,25.102413706810555,0.100991056155278,0.075074817712172,0.07603467839525,1.744821037403714,10.234514533319164,973.3000514110994,79.9075105670377,83.31615120274914,76.40536276506279,16.77150859246715,,,,,,,,,,
Gujarat,GUJARAT,exact,GUJARAT,25,1,4.0,1,4.0,2,8.0,28.279143950027482,1.9724892503175466,15.950804700552423,BJP,BJP,NDA,NDA,25,24,-1,-2.517714566443073,0,1,1,-2.372812831557125,61.56350190254484,62.01229168013662,0.4487897775917773,29.838039012996585,70.9785992089658,62.05992217592894,59.54220760948587,32.256773790009575,29.883960958452448,24.0,,60439692.0,,42.5963173339798,57.4036826660202,88.5742237071625,9.673710779333554,0.5231297340165135,0.0963704447732791,0.0504353993067999,0.9590618032931076,6.741343089571005,14.75383759401024,919.2528974705998,67.99068069374013,74.54408937590938,60.86162110611034,19.26959190989921,,,,,,,,,,
Haryana,HARYANA,exact,HARYANA,10,5,50.0,5,50.0,5,50.0,9.809520726995073,2.2397579703847215,43.45239531535857,BJP,INC,NDA,INDIA,10,5,-5,-11.943660875359196,0,5,5,15.096202437115455,57.830531741877564,51.73279461740439,-6.097737124473177,5.043510318066023,70.66765459570055,57.830531741877564,45.88687086651837,28.417535254865186,43.51373769198064,6.0,,25351462.0,,34.87807922083547,65.12192077916453,87.45502724852713,7.026584896760589,0.1986197087962816,4.90603658282114,0.0296393162650737,0.2075343820407675,20.1708879748237,0.0,878.6188745921186,65.47546646422207,72.57695483290001,57.392908060301295,20.688652985772578,,,,,,,,,,
Himachal Pradesh,HIMACHAL PRADESH,exact,HIMACHAL PRADESH,4,0,0.0,0,0.0,0,0.0,14.623496885388736,2.024229913054252,19.59842156006703,BJP,BJP,NDA,NDA,4,4,0,-12.679114398667716,0,0,0,14.387788283226186,69.04085381510816,56.36173941644044,-12.679114398667721,13.420500418290668,27.44345668564229,69.04085381510816,56.36173941644044,27.350454247825525,41.73824253105171,2.0,,6864602.0,,10.030472269186182,89.96952773081381,95.16596883548384,2.183389510418812,0.1842204398740087,1.1638839367526332,1.1458639554048435,0.0262943139310917,25.190855930176287,5.712290384788513,971.5256702355312,73.41628837330991,79.05486501087202,67.6124513669289,18.709416802314248,,,,,,,,,,
Jammu and Kashmir,JAMMU & KASHMIR,exact,JAMMU & KASHMIR,5,1,20.0,1,20.0,0,0.0,19.33649055243309,2.7266018915800956,29.99912876326339,JKN,JKN,UNKNOWN,UNKNOWN,2,2,0,-7.660722414939119,0,0,0,6.929705369056386,47.599443283854875,50.69639808563231,3.0969548017774358,19.744849598607217,73.6872434411807,59.70028298757009,52.039560572630975,34.32346283542326,41.253168204479636,1.0,,12267013.0,,27.48210179609331,72.51789820390668,,,,,,,7.536349720995648,10.3945923918072,891.9171561092959,56.14428712189349,63.935781919108635,47.40861616428678,,,,,,,,,,,
Jharkhand,JHARKHAND,exact,JHARKHAND,14,4,28.57142857142857,5,35.714285714285715,1,7.142857142857142,15.690810338647434,2.542457372577308,32.71911640152071,BJP,BJP,NDA,NDA,11,8,-3,-6.864269716839623,1,2,1,4.877976782799559,55.71750377865989,50.989428091990135,-4.728075686669754,16.34625268943302,71.4408045434242,54.138857496235985,47.27458777939636,29.987837135312084,34.86581391811164,20.0,,32988134.0,,24.04822594694201,75.95177405305799,67.8306053928361,14.532480072986246,4.300358425850944,0.2165081541138398,0.0271491561177725,0.0453920794671199,12.082053504451023,26.20652019905097,948.4654597389356,55.55958090869887,64.27830196898286,46.36713117765246,18.288060791798653,,,,,,,,,,
Karnataka,KARNATAKA,exact,KARNATAKA,28,12,42.857142857142854,12,42.857142857142854,7,25.0,10.009499753790555,2.0919370956028636,40.13953190114015,BJP,BJP,NDA,NDA,25,17,-8,-5.99343761223323,1,9,8,13.945966688600736,54.4657972432832,53.531522676512076,-0.9342745667711227,8.251712723521507,76.31413953501063,53.71134892018327,47.71791130795004,31.52674261755777,45.4727093061585,29.0,,61095297.0,,38.670672146826625,61.329327853173375,83.99578121373239,12.919267746582852,1.8702699816648731,0.0470952780538901,0.1566569027399932,0.7206446676247437,17.145332806877096,6.954687526930265,972.9380862777664,66.5310162908284,72.68615078469723,60.20467900310137,19.444761844761963,,,,,,,,,,
Kerala,KERALA,exact,KERALA,20,4,20.0,18,90.0,4,20.0,11.81830555634394,2.7540744356974893,34.727597188137224,INC,INC,UPA,INDIA,0,1,1,4.137342428461465,15,14,-1,-2.7356430273013395,47.30042444237769,45.55277496897742,-1.7476494734002728,9.621823206311834,83.81508475513803,15.05715855026993,19.194500978731394,46.179472279610394,43.44382925230905,32.0,,33406061.0,,47.70070317479214,52.299296825207854,54.72806865796001,26.562461225224965,18.383696898595737,0.0114170898508507,0.0142249635477825,0.013437681263888,9.098866819407412,1.4513504001564268,1084.3078720382305,84.2237101824127,85.50914520697415,83.03822121040594,15.794621820273871,,,,,,,,,,
