state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped
Andhra Pradesh,ANDHRA_PRADESH__NARASARAOPET,ANDHRA_PRADESH__NARSARAOPET,Narasaraopet,YSRCP,LAVU SRI KRISHNA DEVARAYALU,51.867721334056846,Andhra Pradesh,ANDHRA_PRADESH__NARSARAOPET,Narsaraopet,TDP,LAVU SRIKRISHNA DEVARAYALU,53.88188206077879,Andhra Pradesh,Narsaraopet,True
Andhra Pradesh,ANDHRA_PRADESH__NARSAPURAM,ANDHRA_PRADESH__NARSAPURAM,Narsapuram,YSRCP,KANUMURU RAGHU RAMA KRISHNA RAJU,38.14379768675206,Andhra Pradesh,ANDHRA_PRADESH__NARSAPURAM,Narsapuram,BJP,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),57.46071555037213,Andhra Pradesh,Narsapuram,True
Andhra Pradesh,ANDHRA_PRADESH__NELLORE,ANDHRA_PRADESH__NELLORE,Nellore,YSRCP,Adala Prabhakara Reddy,53.132157919436594,Andhra Pradesh,ANDHRA_PRADESH__NELLORE,Nellore,TDP,PRABHAKAR REDDY VEMIREDDY,55.69749260167383,Andhra Pradesh,Nellore,True
Andhra Pradesh,ANDHRA_PRADESH__ONGOLE,ANDHRA_PRADESH__ONGOLE,Ongole,YSRCP,MAGUNTA SREENIVASULU REDDY,55.06701590025984,Andhra Pradesh,ANDHRA_PRADESH__ONGOLE,Ongole,TDP,MAGUNTA SREENIVASULU REDDY,49.352207192447835,Andhra Pradesh,Ongole,True
Andhra Pradesh,ANDHRA_PRADESH__RAJAHMUNDRY,ANDHRA_PRADESH__RAJAHMUNDRY,Rajahmundry,YSRCP,MARGANI BHARAT,46.546019879609126,Andhra Pradesh,ANDHRA_PRADESH__RAJAHMUNDRY,Rajahmundry,BJP,DAGGUBATI PURANDHESHWARI,54.81903301675021,Andhra Pradesh,Rajahmundry,True
Andhra Pradesh,ANDHRA_PRADESH__RAJAMPET,ANDHRA_PRADESH__RAJAMPET,Rajampet,YSRCP,P.V.MIDHUN REDDY,57.353592180039435,Andhra Pradesh,ANDHRA_PRADESH__RAJAMPET,Rajampet,YSRCP,P V MIDHUN REDDY,48.377607677470614,Andhra Pradesh,Rajampet,False
Andhra Pradesh,ANDHRA_PRADESH__SRIKAKULAM,ANDHRA_PRADESH__SRIKAKULAM,Srikakulam,TDP,KINJARAPU RAM MOHAN NAIDU,46.18773054161781,Andhra Pradesh,ANDHRA_PRADESH__SRIKAKULAM,Srikakulam,TDP,KINJARAPU RAMMOHAN NAIDU,61.04528173014827,Andhra Pradesh,Srikakulam,False
Andhra Pradesh,ANDHRA_PRADESH__TIRUPATI,ANDHRA_PRADESH__THIRUPATHI,Tirupati,YSRCP,Balli Durga Prasad Rao,55.03378339798175,Andhra Pradesh,ANDHRA_PRADESH__THIRUPATHI,Thirupathi,YSRCP,GURUMOORTHY MADDILA,45.72846221167825,Andhra Pradesh,Thirupathi,False
Andhra Pradesh,ANDHRA_PRADESH__VIJAYAWADA,ANDHRA_PRADESH__VIJAYAWADA,Vijayawada,TDP,KESINENI SRINIVAS (NANI),45.041327812001306,Andhra Pradesh,ANDHRA_PRADESH__VIJAYAWADA,Vijayawada,TDP,KESINENI SIVANATH (CHINNI),58.2051516961606,Andhra Pradesh,Vijayawada,False
Andhra Pradesh,ANDHRA_PRADESH__VISAKHAPATNAM,ANDHRA_PRADESH__VISAKHAPATNAM,Visakhapatnam,YSRCP,M V V SATYANARAYANA,35.24134626708202,Andhra Pradesh,ANDHRA_PRADESH__VISAKHAPATNAM,Visakhapatnam,TDP,SRIBHARAT MATHUKUMILI,65.42070829954042,Andhra Pradesh,Visakhapatnam,True
