state,constituency_id,constituency_x,actual_winner,actual_party,actual_vote_share,constituency_y,sim_winner,sim_party,sim_vote_share,sim_alliance,flipped,volatility_score,top2_margin_pct,effective_num_parties
Uttar Pradesh,UTTAR_PRADESH__MISRIKH,Misrikh,ASHOK KUMAR RAWAT,BJP,45.15434184772948,Misrikh,SANGITA RAJVANSHI,SP,44.25752760896961,INDIA,True,35.473383675512856,3.175526600715024,2.5540340828416457
West Bengal,WEST_BENGAL__BISHNUPUR,Bishnupur,KHAN SAUMITRA,BJP,44.92651954722725,Bishnupur,SUJATA MONDAL,AITC,45.82963881039753,INDIA,True,34.55473374720769,0.3677325427777305,2.4657004758257792
Uttar Pradesh,UTTAR_PRADESH__PHULPUR,Phulpur,PRAVEEN PATEL,BJP,44.59886640442087,Phulpur,AMAR NATH SINGH MAURYA,SP,46.43979537877763,INDIA,True,34.42109747366218,0.4268720487493453,2.4953906851145176
Uttar Pradesh,UTTAR_PRADESH__SHAHJAHANPUR,Shahjahanpur,ARUN KUMAR SAGAR,BJP,47.49715923205508,Shahjahanpur,JYOTSNA GOND,SP,45.33272724542862,INDIA,True,34.14817600238825,4.43776835039931,2.400969053478158
Uttar Pradesh,UTTAR_PRADESH__MAHARAJGANJ,Maharajganj,PANKAJ CHAUDHARY,BJP,48.85038716974087,Maharajganj,VIRENDRA CHAUDHARY,INC,47.39560008224332,INDIA,True,34.045425397707405,2.928743088319976,2.220261417738869
Maharashtra,MAHARASHTRA__MUMBAI_NORTH_WEST,Mumbai North West,RAVINDRA DATTARAM WAIKAR,SHS,47.400305150381335,Mumbai North West,AMOL GAJANAN KIRTIKAR,SHSUBT,47.9161174765411,INDIA,True,33.172186260129884,0.0050264990748161,2.2235445803091727
Maharashtra,MAHARASHTRA__AKOLA,Akola,ANUP SANJAY DHOTRE,BJP,38.96009793090279,Akola,ABHAY KASHINATH PATIL,INC,37.87563979470359,INDIA,True,32.88600343741967,3.463214534146239,2.998526723914631
Uttar Pradesh,UTTAR_PRADESH__HARDOI,Hardoi,JAI PRAKASH,BJP,44.249697304647874,Hardoi,USHA VERMA,SP,43.997612626250586,INDIA,True,32.56448571189344,2.5320966152660276,2.6151246446216767
West Bengal,WEST_BENGAL__BALURGHAT,Balurghat,SUKANTA MAJUMDAR,BJP,46.47153336113563,Balurghat,BIPLAB MITRA,AITC,46.89764218828012,INDIA,True,32.00601960828624,0.8394029619140895,2.345992080346723
Uttar Pradesh,UTTAR_PRADESH__KANPUR,Kanpur,RAMESH AWASTHI,BJP,49.92754080478163,Kanpur,ALOK MISRA,INC,49.05522461337451,INDIA,True,29.469344512967915,2.362868437540847,2.1020329299577725
Uttar Pradesh,UTTAR_PRADESH__BAREILLY,Bareilly,CHHATRA PAL SINGH GANGWAR,BJP,50.65633044469335,Bareilly,PRAVEEN SINGH ARON,SP,49.79861055507699,INDIA,True,28.42139506710489,3.1087268368409653,2.071519325785251
Bihar,BIHAR__PURNIA,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,IND,47.46070557698162,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,IND,47.46070557698161,OTHER,False,97.33293187165086,1.9941564284304647,2.3090036066707595
Dadra & Nagar Haveli and Daman & Diu,DADRA_&_NAGAR_HAVELI_AND_DAMAN_&_DIU__DAMAN_&_DIU,Daman & Diu,PATEL UMESHBHAI BABUBHAI,IND,46.01558272914187,Daman & Diu,PATEL UMESHBHAI BABUBHAI,IND,46.01558272914187,OTHER,False,95.16044966027393,6.736283951953254,2.6243672592187455
Assam,ASSAM__KOKRAJHAR,Kokrajhar,JOYANTA BASUMATARY,UPPL,39.387561458111826,Kokrajhar,JOYANTA BASUMATARY,UPPL,39.38756145811183,UNKNOWN,False,90.18430213437446,4.15490666099609,3.392170848290887
Lakshadweep,LAKSHADWEEP__LAKSHADWEEP,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,INC,52.288617886178855,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,INC,52.28861788617887,INDIA,False,88.09416802377307,5.3800813008130035,2.026438655416363
Mizoram,MIZORAM__MIZORAM,MIZORAM,RICHARD VANLALHMANGAIHA,ZPM,42.445902600257256,MIZORAM,RICHARD VANLALHMANGAIHA,ZPM,42.445902600257256,UNKNOWN,False,87.98870737839825,13.898432030219638,3.2599557420864853
Uttar Pradesh,UTTAR_PRADESH__JALAUN,Jalaun,NARAYAN DAS AHIRWAR,SP,46.96226313146121,Jalaun,NARAYAN DAS AHIRWAR,SP,49.216182220359414,INDIA,False,86.70225285103103,4.774174918441844,2.459753567950128
Bihar,BIHAR__JAMUI,Jamui,ARUN BHARTI,LJPRV,51.98415494575856,Jamui,ARUN BHARTI,LJPRV,51.98415494575856,UNKNOWN,False,85.04513189895431,11.486745238365124,2.2963454686423725
Punjab,PUNJAB__HOSHIARPUR,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,AAAP,32.03624727855475,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,AAAP,32.03624727855475,UNKNOWN,False,84.4181664843808,4.650679768262016,4.262399473395964
Punjab,PUNJAB__FIROZPUR,Firozpur,SHER SINGH GHUBAYA,INC,23.697666460761788,Firozpur,SHER SINGH GHUBAYA,INC,23.697666460761788,INDIA,False,84.30468188945241,0.2881483226159069,4.680449620366454
Punjab,PUNJAB__FARIDKOT,Faridkot,SARABJEET SINGH KHALSA,IND,29.381490554041335,Faridkot,SARABJEET SINGH KHALSA,IND,29.381490554041328,OTHER,False,84.0674756424947,6.905481268267202,5.112037714210161
Uttar Pradesh,UTTAR_PRADESH__BIJNOR,Bijnor,CHANDAN CHAUHAN,RLD,39.48461196057913,Bijnor,CHANDAN CHAUHAN,RLD,38.52157264446745,UNKNOWN,False,83.93089185589857,3.661345994658504,3.029451143530271
Kerala,KERALA__ALATHUR,Alathur,K.RADHAKRISHNAN,CPIM,40.659075975442114,Alathur,K.RADHAKRISHNAN,CPIM,40.65907597544211,INDIA,False,83.81508475513803,2.0267709933203477,2.8513794880022427
Punjab,PUNJAB__ANANDPUR_SAHIB,Anandpur Sahib,MALVINDER SINGH KANG,AAAP,29.07903739870006,Anandpur Sahib,MALVINDER SINGH KANG,AAAP,29.07903739870007,UNKNOWN,False,83.7965159868218,1.0069416399055695,4.694728924289731
Uttar Pradesh,UTTAR_PRADESH__DHAURAHRA,Dhaurahra,ANAND BHADAURIYA,SP,39.91043731736471,Dhaurahra,ANAND BHADAURIYA,SP,42.199440116780806,INDIA,False,83.72982293260667,0.4001449839771069,2.911083442293978
Bihar,BIHAR__KARAKAT,Karakat,RAJA RAM SINGH FATHER-LATE DIPAN SINGH,CPI(ML)(L),36.89165950962469,Karakat,RAJA RAM SINGH FATHER-LATE DIPAN SINGH,CPI(ML)(L),36.89165950962468,UNKNOWN,False,83.71880055655272,10.261356432322817,3.7123189802097327
Maharashtra,MAHARASHTRA__RATNAGIRI-_SINDHUDURG,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,BJP,49.06951352131968,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,BJP,47.009707674816,NDA,False,82.43206880475952,5.2358873482284025,2.305727497983132
Ladakh,LADAKH__LADAKH,Ladakh,MOHMAD HANEEFA,IND,48.15309465482129,Ladakh,MOHMAD HANEEFA,IND,48.15309465482129,OTHER,False,81.34684257949763,20.55872022667572,2.749806275602898
Rajasthan,RAJASTHAN__BANSWARA,BANSWARA,RAJ KUMAR ROAT,BHRTADVSIP,50.14692837226578,BANSWARA,RAJ KUMAR ROAT,BHRTADVSIP,50.14692837226578,UNKNOWN,False,81.03966712338904,15.093239950832448,2.6392448326687075
Rajasthan,RAJASTHAN__BARMER,BARMER,UMMEDA RAM BENIWAL,INC,41.74494727943646,BARMER,UMMEDA RAM BENIWAL,INC,41.74494727943647,INDIA,False,80.24552453315869,7.000736352159976,3.0776766375884095
Uttar Pradesh,UTTAR_PRADESH__AONLA,Aonla,NEERAJ MAURYA,SP,45.23067400376161,Aonla,NEERAJ MAURYA,SP,47.4932079639419,INDIA,False,80.17855780549547,1.4665312389796623,2.4758041798662083
Maharashtra,MAHARASHTRA__DINDORI,Dindori,BHASKAR MURLIDHAR BHAGARE,NCPSP,46.525453094906155,Dindori,BHASKAR MURLIDHAR BHAGARE,NCPSP,47.964384633923885,INDIA,False,79.91732088698694,9.122257053291534,2.74272966754456
Manipur,MANIPUR__OUTER_MANIPUR,Outer Manipur,ALFRED KANNGAM S ARTHUR,INC,48.316441476777094,Outer Manipur,ALFRED KANNGAM S ARTHUR,INC,48.316441476777094,INDIA,False,79.81974634818542,10.72100510207283,2.577544651048878
Uttar Pradesh,UTTAR_PRADESH__NAGINA,Nagina,CHANDRASHEKHAR,ASPKR,51.18850138269835,Nagina,CHANDRASHEKHAR,ASPKR,50.93383222159039,UNKNOWN,False,79.73117506246633,15.127588751856337,2.482946155097829
Bihar,BIHAR__SHEOHAR,Sheohar,LOVELY ANAND,JDU,45.15072915739076,Sheohar,LOVELY ANAND,JDU,45.15072915739076,NDA,False,79.64233253014508,2.7607943145238423,2.591505505909608
Uttar Pradesh,UTTAR_PRADESH__SALEMPUR,Salempur,RAMASHANKAR RAJBHAR,SP,44.19978154752432,Salempur,RAMASHANKAR RAJBHAR,SP,46.46744432589484,INDIA,False,79.09295752937565,0.3894863750624111,2.530289959911696
Meghalaya,MEGHALAYA__SHILLONG,Shillong,DR. RICKY ANDREW J. SYNGKON,VOTPP,55.0218660366833,Shillong,DR. RICKY ANDREW J. SYNGKON,VOTPP,55.021866036683306,UNKNOWN,False,78.5280270060588,35.83255211670365,2.672586480293815
Uttar Pradesh,UTTAR_PRADESH__MUZAFFARNAGAR,Muzaffarnagar,HARENDRA SINGH MALIK,SP,43.639058877190315,Muzaffarnagar,HARENDRA SINGH MALIK,SP,45.90951132058738,INDIA,False,78.34491405556238,2.287263284659147,2.6367929249142046
Bihar,BIHAR__NAWADA,Nawada,VIVEK THAKUR,BJP,47.20337521698645,Nawada,VIVEK THAKUR,BJP,47.20337521698645,NDA,False,78.1656997063896,7.779323347166823,2.61654151650674
Uttar Pradesh,UTTAR_PRADESH__HAMIRPUR,Hamirpur,AJENDRA SINGH LODHI,SP,43.99564601062136,Hamirpur,AJENDRA SINGH LODHI,SP,46.26432438867797,INDIA,False,78.08638496222801,0.2357215419362788,2.5477390971895497
Maharashtra,MAHARASHTRA__AMRAVATI,Amravati,BALWANT BASWANT WANKHADE,INC,44.8432529893599,Amravati,BALWANT BASWANT WANKHADE,INC,47.31641716096959,INDIA,False,77.92607787278968,1.6812673028402827,2.544628621771213
Telangana,TELANGANA__MEDAK,Medak,MADHAVANENI RAGHUNANDAN RAO,BJP,33.992478930400885,Medak,MADHAVANENI RAGHUNANDAN RAO,BJP,33.992478930400885,NDA,False,77.5069684009879,2.823394811428617,3.3904993129681404
Uttar Pradesh,UTTAR_PRADESH__MACHHLISHAHR,Machhlishahr,PRIYA SAROJ,SP,42.57218674739143,Machhlishahr,PRIYA SAROJ,SP,44.84794701232978,INDIA,False,77.45051462374724,3.381874473498278,2.8010430632120467
Uttar Pradesh,UTTAR_PRADESH__FATEHPUR,Fatehpur,NARESH CHANDRA UTTAM PATEL,SP,45.19903445883441,Fatehpur,NARESH CHANDRA UTTAM PATEL,SP,47.46172582968598,INDIA,False,76.95978266915102,2.9991580423219233,2.568535157164503
Uttar Pradesh,UTTAR_PRADESH__SULTANPUR,Sultanpur,RAMBHUAL NISHAD,SP,42.99744432627854,Sultanpur,RAMBHUAL NISHAD,SP,45.27108888186919,INDIA,False,76.51687084881524,4.177912050374161,2.773341474936489
Karnataka,KARNATAKA__HASSAN,Hassan,SHREYAS. M. PATEL,INC,49.6667544890912,Hassan,SHREYAS. M. PATEL,INC,49.6667544890912,INDIA,False,76.31413953501063,3.147511415070177,2.15859428581532
Odisha,ODISHA__KANDHAMAL,Kandhamal,SUKANTA KUMAR PANIGRAHI,BJP,41.80491541435472,Kandhamal,SUKANTA KUMAR PANIGRAHI,BJP,41.80491541435471,NDA,False,76.3050686082795,2.1454867075397743,2.829439236479645
Odisha,ODISHA__NABARANGPUR,Nabarangpur,BALABHADRA MAJHI,BJP,38.74492444515986,Nabarangpur,BALABHADRA MAJHI,BJP,38.74492444515986,NDA,False,76.2195462691816,7.045292661824181,3.2080512682144597
Uttar Pradesh,UTTAR_PRADESH__BANDA,Banda,KRISHNA DEVI SHIVSHANKER PATEL,SP,38.938276003417194,Banda,KRISHNA DEVI SHIVSHANKER PATEL,SP,41.23211542628576,INDIA,False,75.73766568868547,6.82001892481027,3.2198898895654056
Bihar,BIHAR__AURANGABAD,Aurangabad,ABHAY KUMAR SINHA,RJD,49.220514230134896,Aurangabad,ABHAY KUMAR SINHA,RJD,49.22051423013489,INDIA,False,75.62102309657126,8.363745929716238,2.43453197920025
Telangana,TELANGANA__MAHBUBNAGAR,Mahbubnagar,ARUNA. D. K,BJP,41.65697451548759,Mahbubnagar,ARUNA. D. K,BJP,41.656974515487605,NDA,False,75.38579485926186,0.3670239576927372,2.777208737943061
Uttar Pradesh,UTTAR_PRADESH__SANT_KABIR_NAGAR,Sant Kabir Nagar,LAXMIKANT PAPPU NISHAD,SP,45.70143749736529,Sant Kabir Nagar,LAXMIKANT PAPPU NISHAD,SP,47.96162935061223,INDIA,False,75.25646823756814,8.446648741479578,2.7254800440976
Tamil Nadu,TAMIL_NADU__VILUPPURAM,VILUPPURAM,RAVIKUMAR. D,VCK,41.38515286722011,VILUPPURAM,RAVIKUMAR. D,VCK,41.38515286722011,UNKNOWN,False,75.17621538300358,6.133861731098399,3.0959715491893367
Uttar Pradesh,UTTAR_PRADESH__CHANDAULI,Chandauli,BIRENDRA SINGH,SP,42.4967689178405,Chandauli,BIRENDRA SINGH,SP,44.77290439586119,INDIA,False,74.86167180342683,1.931484040738056,2.733906919191913
Maharashtra,MAHARASHTRA__BHIWANDI,Bhiwandi,BALYA MAMA - SURESH GOPINATH MHATRE,NCPSP,39.84876324298966,Bhiwandi,BALYA MAMA - SURESH GOPINATH MHATRE,NCPSP,41.081199219576966,INDIA,False,74.71648604904178,5.275335308229856,3.1949457787709856
Bihar,BIHAR__BUXAR,Buxar,SUDHAKAR SINGH,RJD,40.823406369585726,Buxar,SUDHAKAR SINGH,RJD,40.82340636958573,INDIA,False,74.66294387974577,2.8023979310068654,3.0757159792095567
Maharashtra,MAHARASHTRA__AURANGABAD,Aurangabad,BHUMARE SANDIPANRAO ASARAM,SHS,36.56359214466014,Aurangabad,BHUMARE SANDIPANRAO ASARAM,SHS,36.20157638085163,NDA,False,74.57314487591579,10.340217340387056,3.8876305247709144
Odisha,ODISHA__JAGATSINGHPUR,Jagatsinghpur,BIBHU PRASAD TARAI,BJP,45.79794400472056,Jagatsinghpur,BIBHU PRASAD TARAI,BJP,45.79794400472056,NDA,False,74.26671064321062,3.163835131661905,2.4949357489786537
Uttar Pradesh,UTTAR_PRADESH__MOHANLALGANJ,Mohanlalganj,R. K. CHAUDHARY,SP,48.485827455330565,Mohanlalganj,R. K. CHAUDHARY,SP,50.732166622219474,INDIA,False,74.19050594831533,5.103045332977118,2.3393168839765197
Maharashtra,MAHARASHTRA__PALGHAR,Palghar,DR. HEMANT VISHNU SAVARA,BJP,43.69270838632225,Palghar,DR. HEMANT VISHNU SAVARA,BJP,41.52317182277781,NDA,False,74.07871567229324,13.320940588950894,3.143234215694472
Telangana,TELANGANA__ZAHIRABAD,Zahirabad,SURESH KUMAR SHETKAR,INC,42.731763805876305,Zahirabad,SURESH KUMAR SHETKAR,INC,42.73176380587631,INDIA,False,73.83964691610528,3.735101201446227,2.823277271643197
Uttar Pradesh,UTTAR_PRADESH__SITAPUR,Sitapur,RAKESH RATHOR,INC,48.19698461454699,Sitapur,RAKESH RATHOR,INC,49.69392385307777,INDIA,False,73.83117625263043,8.134281293811789,2.4933028033847338
Jammu and Kashmir,JAMMU_AND_KASHMIR__BARAMULLA,BARAMULLA,ABDUL RASHID SHEIKH,IND,45.698907050972046,BARAMULLA,ABDUL RASHID SHEIKH,IND,45.698907050972046,OTHER,False,73.6872434411807,19.744849598607217,3.2696162002640756
Punjab,PUNJAB__GURDASPUR,Gurdaspur,SUKHJINDER SINGH RANDHAWA,INC,33.77567436673452,Gurdaspur,SUKHJINDER SINGH RANDHAWA,INC,33.77567436673452,INDIA,False,73.49648930088286,7.68779005145543,3.917005783631232
Odisha,ODISHA__JAJPUR,Jajpur,RABINDRA NARAYAN BEHERA,BJP,46.00717528642586,Jajpur,RABINDRA NARAYAN BEHERA,BJP,46.00717528642586,NDA,False,73.42483385224244,0.1366680215775346,2.355870491711193
Uttar Pradesh,UTTAR_PRADESH__AMBEDKAR_NAGAR,Ambedkar Nagar,LALJI VERMA,SP,46.29824087431248,Ambedkar Nagar,LALJI VERMA,SP,48.55546355652983,INDIA,False,73.27368967332352,11.660133450914223,2.753715178804073
Uttar Pradesh,UTTAR_PRADESH__BASTI,Basti,RAM PRASAD CHAUDHARY,SP,48.66743007009152,Basti,RAM PRASAD CHAUDHARY,SP,50.91286574138459,INDIA,False,73.19159407692449,9.32651195434356,2.494837932679588
Uttar Pradesh,UTTAR_PRADESH__ALLAHABAD,Allahabad,UJJWAL RAMAN SINGH,INC,48.80095036958817,Allahabad,UJJWAL RAMAN SINGH,INC,50.30399027231128,INDIA,False,73.13098651623191,6.208553326293554,2.36726898961819
Uttar Pradesh,UTTAR_PRADESH__SHRAWASTI,Shrawasti,RAM SHIROMANI VERMA,SP,48.8333804733366,Shrawasti,RAM SHIROMANI VERMA,SP,51.07799052073294,INDIA,False,73.11593503041266,7.326416493395307,2.4154370727223906
Bihar,BIHAR__SASARAM,Sasaram,MANOJ KUMAR,INC,46.76106920675432,Sasaram,MANOJ KUMAR,INC,46.76106920675433,INDIA,False,73.0655541800549,1.7461887291206182,2.3619525460873914
Uttar Pradesh,UTTAR_PRADESH__PRATAPGARH,Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),SP,46.65233804291831,Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),SP,48.9077990476799,INDIA,False,72.98974466640489,6.989004399929058,2.615828718374313
West Bengal,WEST_BENGAL__BANKURA,Bankura,ARUP CHAKRABORTY,AITC,44.33408350222495,Bankura,ARUP CHAKRABORTY,AITC,45.60605323604472,INDIA,False,72.8484841365904,2.2641837872338684,2.6352677780474303
Dadra & Nagar Haveli and Daman & Diu,DADRA_&_NAGAR_HAVELI_AND_DAMAN_&_DIU__DADAR_&_NAGAR_HAVELI,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,BJP,58.89156954686071,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,BJP,58.8915695468607,NDA,False,72.8020328986721,28.00941689203649,2.24383259076776
Telangana,TELANGANA__NAGARKURNOOL,Nagarkurnool,DR.MALLU RAVI,INC,38.144949693370286,Nagarkurnool,DR.MALLU RAVI,INC,38.14494969337028,INDIA,False,72.78352643308756,7.743784361023373,3.250538601163254
Uttar Pradesh,UTTAR_PRADESH__KHERI,Kheri,UTKARSH VERMA 'MADHUR',SP,45.93570410735816,Kheri,UTKARSH VERMA 'MADHUR',SP,48.19473045508275,INDIA,False,72.7133683217842,2.8292533372233564,2.468051464893391
West Bengal,WEST_BENGAL__BAHARAMPUR,Baharampur,PATHAN YUSUF,AITC,37.87748145901485,Baharampur,PATHAN YUSUF,AITC,39.18157359105955,INDIA,False,72.63609736115058,6.139792167652388,3.158859028840866
Maharashtra,MAHARASHTRA__BEED,Beed,BAJRANG MANOHAR SONWANE,NCPSP,44.92887383851356,Beed,BAJRANG MANOHAR SONWANE,NCPSP,46.31842663764284,INDIA,False,72.52756255091822,0.4304684703030617,2.485271864607931
Uttar Pradesh,UTTAR_PRADESH__SAHARANPUR,Saharanpur,IMRAN MASOOD,INC,44.56991105815178,Saharanpur,IMRAN MASOOD,INC,46.0302131900523,INDIA,False,72.2889024294814,5.249643134559619,2.667975370998229
Maharashtra,MAHARASHTRA__SANGLI,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,IND,48.91285003388253,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,IND,49.911071463145426,OTHER,False,72.12576933580121,8.560728440103219,2.468874078663094
Kerala,KERALA__KOTTAYAM,Kottayam,ADV K FRANCIS GEORGE,KEC,43.6045169769308,Kottayam,ADV K FRANCIS GEORGE,KEC,43.60451697693079,UNKNOWN,False,71.98252326964145,10.435733052068656,2.946353889966315
Uttar Pradesh,UTTAR_PRADESH__GHAZIPUR,Ghazipur,AFZAL ANSARI,SP,46.82289561822366,Ghazipur,AFZAL ANSARI,SP,49.07750807783449,INDIA,False,71.9353865006066,10.828345304025513,2.7071277149771853
Rajasthan,RAJASTHAN__JHUNJHUNU,JHUNJHUNU,BRIJENDRA SINGH OLA,INC,49.43736275914336,JHUNJHUNU,BRIJENDRA SINGH OLA,INC,49.43736275914336,INDIA,False,71.74038869340151,1.6296862976762585,2.113664602634142
West Bengal,WEST_BENGAL__ASANSOL,Asansol,SHATRUGHAN PRASAD SINHA,AITC,46.53295327074081,Asansol,SHATRUGHAN PRASAD SINHA,AITC,47.79398335397096,INDIA,False,71.71655533050456,4.5764248505616365,2.503305546608455
Maharashtra,MAHARASHTRA__AHMEDNAGAR,Ahmednagar,NILESH DNYANDEV LANKE,NCPSP,47.13752105845669,Ahmednagar,NILESH DNYANDEV LANKE,NCPSP,48.595382534491435,INDIA,False,71.5731876585613,2.1825350421018257,2.349550524024513
West Bengal,WEST_BENGAL__MEDINIPUR,Medinipur,JUNE MALIAH,AITC,47.3953520707523,Medinipur,JUNE MALIAH,AITC,48.65209161268888,INDIA,False,71.54030980139538,1.835291513084492,2.30464295269604
Jharkhand,JHARKHAND__DUMKA,Dumka,NALIN SOREN,JMM,46.22542081457135,Dumka,NALIN SOREN,JMM,46.22542081457135,UNKNOWN,False,71.4408045434242,1.902406150665641,2.432800818584341
Maharashtra,MAHARASHTRA__DHULE,Dhule,BACHHAV SHOBHA DINESH,INC,47.885540414747865,Dhule,BACHHAV SHOBHA DINESH,INC,50.38943476237158,INDIA,False,71.3999292275227,0.314197958656436,2.193232133641262
Uttar Pradesh,UTTAR_PRADESH__LALGANJ,Lalganj,DAROGA PRASAD SAROJ,SP,43.84516033875536,Lalganj,DAROGA PRASAD SAROJ,SP,46.11458740174663,INDIA,False,71.35422616950972,11.462890582178474,2.9312586975678117
Maharashtra,MAHARASHTRA__BHANDARA_GONDIYA,Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,INC,47.56099437037325,Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,INC,50.06161047512451,INDIA,False,71.17842752535847,3.026541750973429,2.3497040932404754
Gujarat,GUJARAT__BANASKANTHA,Banaskantha,GENIBEN NAGAJI THAKOR,INC,48.83214877792984,Banaskantha,GENIBEN NAGAJI THAKOR,INC,48.83214877792984,INDIA,False,70.9785992089658,2.209894156782852,2.1919837349184337
Chhattisgarh,CHHATTISGARH__BASTAR,BASTAR,MAHESH KASHYAP,BJP,45.50330307376947,BASTAR,MAHESH KASHYAP,BJP,45.503303073769466,NDA,False,70.93575614285373,5.483946217719961,2.697607401926903
Bihar,BIHAR__GAYA,Gaya,JITAN RAM MANJHI,HAMS,51.36166097319016,Gaya,JITAN RAM MANJHI,HAMS,51.36166097319016,UNKNOWN,False,70.89185045098021,10.564961667614426,2.3203247196973966
Odisha,ODISHA__ASKA,Aska,ANITA SUBHADARSHINI,BJP,48.55282469835369,Aska,ANITA SUBHADARSHINI,BJP,48.55282469835369,NDA,False,70.85090743718762,9.821458394324075,2.551353869608024
Maharashtra,MAHARASHTRA__SHIRDI,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,SHSUBT,44.996339152947925,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,SHSUBT,45.54092985440389,INDIA,False,70.75145148004727,4.767498471502009,2.688041440498813
Uttar Pradesh,UTTAR_PRADESH__ETAH,Etah,DEVESH SHAKYA,SP,47.091938585543474,Etah,DEVESH SHAKYA,SP,49.345212522928826,INDIA,False,70.68434245997148,2.7763784156669615,2.36283788315921
Haryana,HARYANA__AMBALA,AMBALA,VARUN CHAUDHRY,INC,49.279435547945305,AMBALA,VARUN CHAUDHRY,INC,49.2794355479453,INDIA,False,70.66765459570055,3.641137517616848,2.2144202286486467
Chandigarh,CHANDIGARH__CHANDIGARH,Chandigarh,MANISH TEWARI,INC,48.223693728785264,Chandigarh,MANISH TEWARI,INC,48.22369372878526,INDIA,False,70.66155420562646,0.5573423849535359,2.173540746128055
Uttar Pradesh,UTTAR_PRADESH__BADAUN,Badaun,ADITYA YADAV,SP,45.9673519185465,Badaun,ADITYA YADAV,SP,48.22622081447413,INDIA,False,70.6559097461718,3.2049966842650974,2.4858649986298387
Kerala,KERALA__ALAPPUZHA,Alappuzha,K. C VENUGOPAL,INC,38.212794334199494,Alappuzha,K. C VENUGOPAL,INC,38.212794334199494,INDIA,False,70.64647460157444,5.999132901295269,3.0307129310084124
Kerala,KERALA__THRISSUR,Thrissur,SURESH GOPI,BJP,37.79879656349576,Thrissur,SURESH GOPI,BJP,37.79879656349576,NDA,False,70.5032234494963,6.846424341538366,3.037728492962298
West Bengal,WEST_BENGAL__KANTHI,Kanthi,ADHIKARI SOUMENDU,BJP,49.84954248767306,Kanthi,ADHIKARI SOUMENDU,BJP,48.60650993798315,NDA,False,70.43972675507237,3.119797099537095,2.139834862507215
Rajasthan,RAJASTHAN__BHARATPUR,BHARATPUR,SANJNA JATAV,INC,51.18181818181819,BHARATPUR,SANJNA JATAV,INC,51.18181818181819,INDIA,False,70.17176408857637,4.588084730803182,2.0868998452078102
Maharashtra,MAHARASHTRA__MUMBAI_SOUTH_CENTRAL,Mumbai South Central,ANIL YESHWANT DESAI,SHSUBT,49.732670127019446,Mumbai South Central,ANIL YESHWANT DESAI,SHSUBT,50.23036646239548,INDIA,False,70.06398475867248,6.71899149679556,2.306078533803785
Karnataka,KARNATAKA__DAVANAGERE,Davanagere,DR. PRABHA MALLIKARJUN,INC,47.94564848587666,Davanagere,DR. PRABHA MALLIKARJUN,INC,47.94564848587666,INDIA,False,70.00486726112781,1.9762672224713072,2.260849822400365
Uttar Pradesh,UTTAR_PRADESH__BALLIA,Ballia,SANATAN PANDEY,SP,46.36729863936259,Ballia,SANATAN PANDEY,SP,48.62417775060955,INDIA,False,69.9823458061397,4.306865133492565,2.505074276570374
Maharashtra,MAHARASHTRA__MUMBAI_SOUTH,Mumbai South,ARVIND GANPAT SAWANT,SHSUBT,51.17686547762099,Mumbai South,ARVIND GANPAT SAWANT,SHSUBT,51.6602628491297,INDIA,False,69.96498993446465,6.813104940674911,2.177985661854644
Maharashtra,MAHARASHTRA__MUMBAI_NORTH_EAST,Mumbai North East,SANJAY DINA PATIL,SHSUBT,48.67264851819111,Mumbai North East,SANJAY DINA PATIL,SHSUBT,50.686376038970515,INDIA,False,69.81665797111295,3.223097588802218,2.2524266391726546
Rajasthan,RAJASTHAN__SIKAR,SIKAR,AMRARAM,CPIM,50.68201245948821,SIKAR,AMRARAM,CPIM,50.6820124594882,INDIA,False,69.78177899511901,5.603694797886924,2.172596982699596
Uttar Pradesh,UTTAR_PRADESH__FIROZABAD,Firozabad,AKSHAYA YADAV,SP,49.04171964858538,Firozabad,AKSHAYA YADAV,SP,51.28529318267202,INDIA,False,69.69833944891052,8.065774643817008,2.408260905481376
Uttar Pradesh,UTTAR_PRADESH__JAUNPUR,Jaunpur,BABU SINGH KUSHWAHA,SP,46.20943411981252,Jaunpur,BABU SINGH KUSHWAHA,SP,48.467098626679125,INDIA,False,69.64462327345235,9.015799772733049,2.6862007382069275
