candidate_election_id,candidate_clean,candidate_raw,party_id,state,constituency,election_year
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_BJP_DR_GANDI_VENKATA_SATYANARAYANA_RAO_DR_VIKRAM,DR. GANDI VENKATA SATYANARAYANA RAO DR VIKRAM,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),BJP,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_CPIMLL_P_S_AJAY_KUMAR,P.S.AJAY KUMAR,P.S.AJAY KUMAR,CPI(ML)(L),Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_DABAP_VADLAMURI_KRISHNA_SWAROOP,VADLAMURI KRISHNA SWAROOP,Vadlamuri Krishna Swaroop,DABAP,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_INC_RUTHALA_SRIRAMA_MURTHY,RUTHALA SRIRAMA MURTHY,Ruthala Srirama Murthy,INC,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_IND_APPALA_NAIDU_TUMMAGUNTA,APPALA NAIDU TUMMAGUNTA,Appala Naidu Tummagunta,IND,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_JAJGP_K_B_SWAROOP,K B SWAROOP,K B SWAROOP,JAJGP,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_JNP_CHINTALA_PARTHA_SARATHI,CHINTALA PARTHA SARATHI,Chintala Partha Sarathi,JNP,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_NOTA_NOTA,NOTA,NOTA,NOTA,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_PPOI_TAADI_VEERA_JAGADEESHWARI,TAADI VEERA JAGADEESHWARI,Taadi Veera Jagadeeshwari,PPOI,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_TDP_ADARI_ANAND_KUMAR,ADARI ANAND KUMAR,ADARI ANAND KUMAR,TDP,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_YSRCP_DR_BEESETTI_VENKATA_SATYAVATHI,DR.BEESETTI VENKATA SATYAVATHI,Dr.Beesetti Venkata Satyavathi,YSRCP,Andhra Pradesh,Anakapalli,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_BJP_HAMSA_DEVINENI,HAMSA DEVINENI,HAMSA DEVINENI,BJP,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_CPI_D_JAGADEESH,D.JAGADEESH,D.JAGADEESH,CPI,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_INC_K_RAJIV_REDDY,K.RAJIV REDDY,K.RAJIV REDDY,INC,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_S_V_P_YADAV,S.V.P. YADAV,S.V.P. YADAV,IND,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_P_RANGAIAH,P. RANGAIAH,P. RANGAIAH,IND,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_SOMANATH_DESHMUKH,SOMANATH DESHMUKH,SOMANATH DESHMUKH,IND,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_VADDE_KASINATH,VADDE KASINATH,VADDE KASINATH,IND,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_IND_L_RANGAIAH,L. RANGAIAH,L. RANGAIAH,IND,Andhra Pradesh,Anantapur,2019
