candidate_id,candidate,party,state,constituency
KULDEEP_RAI_SHARMA__INC,KULDEEP RAI SHARMA,INC,Andaman & Nicobar Islands,Andaman & Nicobar Islands
VISHAL_JOLLY__BJP,VISHAL JOLLY,BJP,Andaman & Nicobar Islands,Andaman & Nicobar Islands
PARITOSH_KUMAR_HALDAR__IND,PARITOSH KUMAR HALDAR,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
SANJAY_MESHACK__AAAP,SANJAY MESHACK,AAAP,Andaman & Nicobar Islands,Andaman & Nicobar Islands
PRAKASH_MINJ__BSP,PRAKASH MINJ,BSP,Andaman & Nicobar Islands,Andaman & Nicobar Islands
AYAN_MANDAL__AITC,AYAN MANDAL,AITC,Andaman & Nicobar Islands,Andaman & Nicobar Islands
NOTA__NOTA,NOTA,NOTA,Andaman & Nicobar Islands,Andaman & Nicobar Islands
HENRY__IND,HENRY,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
K_VENKAT_RAM_BABU__IND,K VENKAT RAM BABU,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
MINATI_BISWAS__IND,MINATI BISWAS,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
S_SUDERSHAN_RAO__IND,S SUDERSHAN RAO,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
V_V_KHALID__IND,V V KHALID,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
K_KALIMUTHU__IND,K KALIMUTHU,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
C_U_RASHEED__IND,C U RASHEED,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
GOUR_CHANDRA_MAJUMDER__IND,GOUR CHANDRA MAJUMDER,IND,Andaman & Nicobar Islands,Andaman & Nicobar Islands
C_G_SAJI_KUMAR__AINHCP,C G SAJI KUMAR,AINHCP,Andaman & Nicobar Islands,Andaman & Nicobar Islands
CHINTA_ANURADHA__YSRCP,CHINTA ANURADHA,YSRCP,Andhra Pradesh,Amalapuram
GANTI_HARISH_MADHUR_(BALAYOGI)__TDP,GANTI HARISH MADHUR (BALAYOGI),TDP,Andhra Pradesh,Amalapuram
D_M_R_SEKHAR__JNP,D M R SEKHAR,JnP,Andhra Pradesh,Amalapuram
NOTA__NOTA,NOTA,NOTA,Andhra Pradesh,Amalapuram
AYYAJI_VEMA_MANEPALLI__BJP,AYYAJI VEMA MANEPALLI,BJP,Andhra Pradesh,Amalapuram
JANGA_GOUTHAM__INC,JANGA GOUTHAM,INC,Andhra Pradesh,Amalapuram
REVU_SUDHAKAR__IND,REVU SUDHAKAR,IND,Andhra Pradesh,Amalapuram
MORTHA_SIVA_RAMA_KRISHNA__PPOI,MORTHA SIVA RAMA KRISHNA,PPOI,Andhra Pradesh,Amalapuram
PANTHAGADA_VIJAYA_CHAKRAVARTHY__RPI(KH),PANTHAGADA VIJAYA CHAKRAVARTHY,RPI(KH),Andhra Pradesh,Amalapuram
MURALIKRISHNA_KANDERI__IPBP,MURALIKRISHNA KANDERI,IPBP,Andhra Pradesh,Amalapuram
CHELLE_RAJANI__JAJGP,CHELLE RAJANI,JAJGP,Andhra Pradesh,Amalapuram
DR.BEESETTI_VENKATA_SATYAVATHI__YSRCP,Dr.Beesetti Venkata Satyavathi,YSRCP,Andhra Pradesh,Anakapalli
ADARI_ANAND_KUMAR__TDP,ADARI ANAND KUMAR,TDP,Andhra Pradesh,Anakapalli
CHINTALA_PARTHA_SARATHI__JNP,Chintala Partha Sarathi,JnP,Andhra Pradesh,Anakapalli
NOTA__NOTA,NOTA,NOTA,Andhra Pradesh,Anakapalli
DR._GANDI_VENKATA_SATYANARAYANA_RAO_(DR_VIKRAM)__BJP,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),BJP,Andhra Pradesh,Anakapalli
RUTHALA_SRIRAMA_MURTHY__INC,Ruthala Srirama Murthy,INC,Andhra Pradesh,Anakapalli
VADLAMURI_KRISHNA_SWAROOP__DABAP,Vadlamuri Krishna Swaroop,DABAP,Andhra Pradesh,Anakapalli
APPALA_NAIDU_TUMMAGUNTA__IND,Appala Naidu Tummagunta,IND,Andhra Pradesh,Anakapalli
P.S.AJAY_KUMAR__CPI(ML)(L),P.S.AJAY KUMAR,CPI(ML)(L),Andhra Pradesh,Anakapalli
TAADI_VEERA_JAGADEESHWARI__PPOI,Taadi Veera Jagadeeshwari,PPOI,Andhra Pradesh,Anakapalli
