election_year,election_type,constituency_id,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,IND,221.0,0.106610836677987,15.0,False,,IND,IND,IND,GOUR CHANDRA MAJUMDER,GOUR CHANDRA MAJUMDER,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_IND_GOUR_CHANDRA_MAJUMDER
2019,lok_sabha,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,AINHCP,212.0,0.1022692188947206,16.0,False,,AINHCP,AINHCP,AINHCP,C G SAJI KUMAR,C G SAJI KUMAR,CAND_2019_ANDAMAN_NICOBAR_ISLANDS_ANDAMAN_NICOBAR_ISLANDS_AINHCP_C_G_SAJI_KUMAR
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,CHINTA ANURADHA,YSRCP,485958.0,39.41600866253817,1.0,True,39795.0,YSRCP,YSRCP,YSRCP,CHINTA ANURADHA,CHINTA ANURADHA,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_YSRCP_CHINTA_ANURADHA
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,GANTI HARISH MADHUR (BALAYOGI),TDP,446163.0,36.18823987444186,2.0,False,,TDP,TDP,TDP,GANTI HARISH MADHUR (BALAYOGI),GANTI HARISH MADHUR BALAYOGI,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_TDP_GANTI_HARISH_MADHUR_BALAYOGI
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,D M R SEKHAR,JnP,255317.0,20.70873837593631,3.0,False,,JnP,JNP,JNP,D M R SEKHAR,D M R SEKHAR,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_JNP_D_M_R_SEKHAR
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,NOTA,NOTA,16468.0,1.335717964627969,4.0,False,,NOTA,NOTA,NOTA,NOTA,NOTA,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_NOTA_NOTA
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,AYYAJI VEMA MANEPALLI,BJP,11534.0,0.9355216786506556,5.0,False,,BJP,BJP,BJP,AYYAJI VEMA MANEPALLI,AYYAJI VEMA MANEPALLI,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_BJP_AYYAJI_VEMA_MANEPALLI
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,JANGA GOUTHAM,INC,7887.0,0.6397138442446437,6.0,False,,INC,INC,INC,JANGA GOUTHAM,JANGA GOUTHAM,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_INC_JANGA_GOUTHAM
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,REVU SUDHAKAR,IND,2775.0,0.225079994646746,7.0,False,,IND,IND,IND,REVU SUDHAKAR,REVU SUDHAKAR,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_IND_REVU_SUDHAKAR
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,MORTHA SIVA RAMA KRISHNA,PPOI,1954.0,0.1584887601945015,8.0,False,,PPOI,PPOI,PPOI,MORTHA SIVA RAMA KRISHNA,MORTHA SIVA RAMA KRISHNA,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_PPOI_MORTHA_SIVA_RAMA_KRISHNA
