election_year,election_type,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes
2024,lok_sabha,Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,JBNP,1913.0,0.1443411914901322,12.0,False,
2024,lok_sabha,Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,PPOI,1591.0,0.1200453923997911,13.0,False,
2024,lok_sabha,Andhra Pradesh,Anakapalle,DR. THUMMAPALA HARI SHANKAR,IND,1576.0,0.1189136005167007,14.0,False,
2024,lok_sabha,Andhra Pradesh,Anakapalle,JUNNURI J SRINIVAS,IND,1201.0,0.09061880343944,15.0,False,
2024,lok_sabha,Andhra Pradesh,Anakapalle,APPALANAIDU TUMMAGUNTA,IND,1062.0,0.0801308653228021,16.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,TDP,768245.0,53.334495025089765,1.0,True,188555.0
2024,lok_sabha,Andhra Pradesh,Ananthapur,MALAGUNDLA SANKAR NARAYANA,YSRCP,579690.0,40.244288503139344,2.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,MALLIKARJUNA VAJJALA,INC,43217.0,3.0002888030502044,3.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,NOTA,NOTA,9199.0,0.6386296295267795,4.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,G.V.RAMANA REDDY,IND,6439.0,0.4470199135257021,5.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,BANASI NARAYANAPPA,BSP,6396.0,0.4440346896894533,6.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,V.MURALI PRASAD REDDY,IND,5778.0,0.4011307750196469,7.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,DR.NALLANI RAMESH NAIDU,ARPS,4989.0,0.3463553888149911,8.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,M.SURENDRA,PPOI,2935.0,0.203758882776508,9.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,U.C.VENKATASUBBAIAH,JCVIVP,2540.0,0.1763364777691075,10.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,P.CHOWDESWARI,IND,1518.0,0.1053853438005926,11.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,VADLA KESAVAIAH,IND,1494.0,0.1037191723571049,12.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,B.RAGHAVENDRA PRASAD,IND,1318.0,0.091500581771529,13.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,LOKANATH GOWD SURAGOWINI,IND,1091.0,0.0757413768685418,14.0,False,
