election_year,party,alliance_2024
2024,IND,OTHER
2024,NOTA,NONE
2024,BSP,OTHER
2024,BJP,NDA
2024,INC,INDIA
2024,SUCI,OTHER
2024,PPID,OTHER
2024,SP,INDIA
2024,CPI(M),INDIA
2024,AITC,INDIA
2024,BHRJWNKP,OTHER
2024,BSCP,OTHER
2024,NTK,OTHER
2024,APoI,OTHER
2024,VBA,OTHER
2024,ADMK,OTHER
2024,AKBRPRVP,OTHER
2024,RTORP,OTHER
2024,AIFB,OTHER
2024,CPI,INDIA
2024,BMUP,OTHER
2024,KRS,OTHER
2024,PPOI,OTHER
2024,ASPKR,OTHER
2024,YSRCP,OTHER
2024,RJD,INDIA
2024,GGP,OTHER
2024,SRPSP,OTHER
2024,BHRTADVSIP,OTHER
2024,RPI(A),OTHER
2024,AAAP,INDIA
2024,SAP,OTHER
2024,DMK,INDIA
2024,SHSUBT,INDIA
2024,BJD,OTHER
2024,UPJP,OTHER
2024,ESBD,OTHER
2024,RJBP,OTHER
2024,RSPS,OTHER
2024,VKVIP,OTHER
2024,BARESP,OTHER
2024,TDP,NDA
2024,NRCP,OTHER
2024,BHRS,OTHER
2024,AISF,OTHER
2024,SDPI,OTHER
2024,JD(U),NDA
2024,AIMIM,OTHER
2024,BGDRPP,OTHER
2024,BHMS,OTHER
2024,SHS,NDA
2024,DHRMSMJP,OTHER
2024,JBNP,OTHER
2024,SAD(M),OTHER
2024,BHUDRP,OTHER
2024,AODRP,OTHER
2024,VCK,INDIA
2024,BAHUMP,OTHER
2024,SP(I),OTHER
2024,SAD,OTHER
2024,JRBP,OTHER
2024,NCPSP,INDIA
2024,LKHAP,OTHER
2024,NADLMMKLK,OTHER
2024,RPPRINAT,OTHER
2024,GNASURKP,OTHER
2024,VPI,OTHER
2024,DJHP,OTHER
2024,BNARP,OTHER
2024,APNDLK,OTHER
2024,IPBP,OTHER
2024,RSP,INDIA
2024,LGP,OTHER
2024,JNJP,OTHER
2024,BUJNBHRTP,OTHER
2024,MADP,OTHER
2024,MVA,OTHER
2024,PMK,OTHER
2024,PRCP,OTHER
2024,BHYUJEP,OTHER
2024,RTSMJD,OTHER
2024,RSUP,OTHER
2024,PECP,OTHER
2024,VTVTK,OTHER
2024,DMSK,OTHER
2024,SMKNK,OTHER
2024,RSOSP,OTHER
2024,LBCP,OTHER
2024,YGATLSIP,OTHER
2024,SaSP,OTHER
2024,HMR,OTHER
2024,IPGP,OTHER
2024,MPOI,OTHER
2024,JJSP,OTHER
2024,BCYP,OTHER
2024,AYSRCP,OTHER
2024,CPI(ML)(L),INDIA
2024,JMBP,OTHER
2024,URPI,OTHER
2024,HSP,OTHER
2024,RJsbhP,OTHER
2024,INLD,OTHER
2024,AJPI,OTHER
2024,BALP,OTHER
2024,NATJUP,OTHER
2024,BTC,OTHER
2024,GPI,OTHER
2024,RPC(S),OTHER
2024,BRRTD,OTHER
2024,RUC,OTHER
2024,JRJP,OTHER
2024,JNTRAAWJP,OTHER
2024,BHRTSP,OTHER
2024,PBI,OTHER
2024,SSBD,OTHER
2024,JSDP,OTHER
2024,RaNP,OTHER
2024,KMSP,OTHER
2024,JMM,INDIA
2024,SMJVKP,OTHER
2024,PuPP,OTHER
2024,HJP,OTHER
2024,TK,OTHER
2024,SJPI,OTHER
2024,KPPU,OTHER
2024,DABAP,OTHER
2024,JCVIVP,OTHER
2024,MCPI,OTHER
2024,NNKP,OTHER
2024,NBBHNRSVP,OTHER
2024,BGanP,OTHER
2024,RSTJLKPS,OTHER
2024,LJPRV,NDA
2024,SMJDRP,OTHER
2024,NBEP,OTHER
2024,MOSP,OTHER
2024,SBSPSP,OTHER
2024,DBSP,OTHER
2024,GBLRPBP,OTHER
2024,BHRTASP,OTHER
2024,JKNPPB,OTHER
2024,HSS,OTHER
2024,JKP,OTHER
2024,BLRP,OTHER
2024,PHJSP,OTHER
2024,NCP,NDA
2024,AAS,OTHER
2024,RKBP,OTHER
2024,AIMEIEM,OTHER
2024,SMNKJP,OTHER
2024,RTPP,OTHER
2024,AMGRDMK,OTHER
2024,DMDK,OTHER
2024,ACDP,OTHER
2024,AVRMK,OTHER
2024,BHRTPRJAIK,OTHER
2024,VTRP,OTHER
2024,RPI,OTHER
2024,NavaP,OTHER
2024,NMSP,OTHER
2024,ILP(AP),OTHER
2024,BOPF,OTHER
2024,TNRMPI,OTHER
2024,JPJD,OTHER
2024,JNJWDIP,OTHER
2024,RGD,OTHER
2024,CCP,OTHER
2024,LLRP,OTHER
2024,INL,OTHER
2024,ALHP,OTHER
2024,SRVADID,OTHER
2024,cvgrp,OTHER
2024,NDS,OTHER
2024,SWNTRABYKT,OTHER
2024,SVPP,OTHER
2024,HS,OTHER
2024,LOKJANP,OTHER
2024,RTRYDVBHMP,OTHER
2024,BHRTJDOP,OTHER
2024,INSAF,OTHER
2024,TPSTP,OTHER
2024,SAJP,OTHER
