party,candidate_count,party_type,alliance_2019,ideology,region
YSRPP,1,unknown,OTHER,unknown,unknown
TJS,1,unknown,OTHER,unknown,unknown
IRNP,1,unknown,OTHER,unknown,unknown
TSP,1,unknown,OTHER,unknown,unknown
BRPPA,1,unknown,OTHER,unknown,unknown
TGPJP,1,unknown,OTHER,unknown,unknown
TRIPP,1,unknown,OTHER,unknown,unknown
RVyP,1,unknown,OTHER,unknown,unknown
ABHP,1,unknown,OTHER,unknown,unknown
RAJUP,1,unknown,OTHER,unknown,unknown
RPB,1,unknown,OTHER,unknown,unknown
ANNADATA,1,unknown,OTHER,unknown,unknown
BSKRP,1,unknown,OTHER,unknown,unknown
KMBS,1,unknown,OTHER,unknown,unknown
JSEP,1,unknown,OTHER,unknown,unknown
NFFF,1,unknown,OTHER,unknown,unknown
SaDa,1,unknown,OTHER,unknown,unknown
kajp,1,unknown,OTHER,unknown,unknown
NaLP,1,unknown,OTHER,unknown,unknown
BND,1,unknown,OTHER,unknown,unknown
BNIP,1,unknown,OTHER,unknown,unknown
ABLP,1,unknown,OTHER,unknown,unknown
bmd,1,unknown,OTHER,unknown,unknown
KHSNP,1,unknown,OTHER,unknown,unknown
BSPM,1,unknown,OTHER,unknown,unknown
BSKP,1,unknown,OTHER,unknown,unknown
NABMUP,1,unknown,OTHER,unknown,unknown
BBPP,1,unknown,OTHER,unknown,unknown
BAEP,1,unknown,OTHER,unknown,unknown
MNVP,1,unknown,OTHER,unknown,unknown
SaSaP,1,unknown,OTHER,unknown,unknown
RBP,1,unknown,OTHER,unknown,unknown
PHSP,1,unknown,OTHER,unknown,unknown
MDKMGPH,1,unknown,OTHER,unknown,unknown
BMJP,1,unknown,OTHER,unknown,unknown
BKPP,1,unknown,OTHER,unknown,unknown
LOKJANP,1,unknown,OTHER,unknown,unknown
AIRCP,1,unknown,OTHER,unknown,unknown
RtrJP,1,unknown,OTHER,unknown,unknown
RASHLSP,1,unknown,OTHER,unknown,unknown
RJBVP,1,unknown,OTHER,unknown,unknown
VMSKP,1,unknown,OTHER,unknown,unknown
JD,1,unknown,OTHER,unknown,unknown
SHF,1,unknown,OTHER,unknown,unknown
RASJGP,1,unknown,OTHER,unknown,unknown
ANIJP,1,unknown,OTHER,unknown,unknown
HuSP,1,unknown,OTHER,unknown,unknown
KSRSP,1,unknown,OTHER,unknown,unknown
BUNKD,1,unknown,OTHER,unknown,unknown
BDPty,1,unknown,OTHER,unknown,unknown
SAKSP,1,unknown,OTHER,unknown,unknown
BaVaP,1,unknown,OTHER,unknown,unknown
RTJPS,1,unknown,OTHER,unknown,unknown
LJSPty,1,unknown,OTHER,unknown,unknown
ADUP,1,unknown,OTHER,unknown,unknown
ABNNP,1,unknown,OTHER,unknown,unknown
MHD,1,unknown,OTHER,unknown,unknown
SJSMP,1,unknown,OTHER,unknown,unknown
SATKP,1,unknown,OTHER,unknown,unknown
BSUSP,1,unknown,OTHER,unknown,unknown
jhspt,1,unknown,OTHER,unknown,unknown
JAAP,1,unknown,OTHER,unknown,unknown
BNavP,1,unknown,OTHER,unknown,unknown
RND,1,unknown,OTHER,unknown,unknown
KARASP,1,unknown,OTHER,unknown,unknown
BaJD,1,unknown,OTHER,unknown,unknown
BRPI,1,unknown,OTHER,unknown,unknown
RSDal,1,unknown,OTHER,unknown,unknown
ASGP,1,unknown,OTHER,unknown,unknown
BaHaP,1,unknown,OTHER,unknown,unknown
FJP,1,unknown,OTHER,unknown,unknown
MKUP,1,unknown,OTHER,unknown,unknown
YVP,1,unknown,OTHER,unknown,unknown
rajpt,1,unknown,OTHER,unknown,unknown
AYP,1,unknown,OTHER,unknown,unknown
UDFS,1,unknown,OTHER,unknown,unknown
AIPF,1,unknown,OTHER,unknown,unknown
IVD,1,unknown,OTHER,unknown,unknown
RVLP,1,unknown,OTHER,unknown,unknown
NSCBRAP,1,unknown,OTHER,unknown,unknown
ManKP,1,unknown,OTHER,unknown,unknown
RaIP,1,unknown,OTHER,unknown,unknown
RMMP,1,unknown,OTHER,unknown,unknown
BRSP,1,unknown,OTHER,unknown,unknown
RaAD,1,unknown,OTHER,unknown,unknown
AACP,1,unknown,OTHER,unknown,unknown
UPP,1,unknown,OTHER,unknown,unknown
PLM,1,unknown,OTHER,unknown,unknown
SAVIPA,1,unknown,OTHER,unknown,unknown
JHAP,1,unknown,OTHER,unknown,unknown
ALINLBP,1,unknown,OTHER,unknown,unknown
UTSAP,1,unknown,OTHER,unknown,unknown
AIJAP,1,unknown,OTHER,unknown,unknown
grac,1,unknown,OTHER,unknown,unknown
STPI,1,unknown,OTHER,unknown,unknown
SWJP,1,unknown,OTHER,unknown,unknown
AKBJHP,1,unknown,OTHER,unknown,unknown
JASP,1,unknown,OTHER,unknown,unknown
RAHM,1,unknown,OTHER,unknown,unknown
