filename,geo_code,state,survey,survey_version_code,dataset_type_code,dataset_type,file_format_code,file_format,inner_data_files,size_mb,download_status,parse_ok,parse_note,path
KEHR42FL.zip,KE,Kerala,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),KEHR42FL.DAT,2.28,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEHR42FL.zip
KEHR42SD.zip,KE,Kerala,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,KEHR42FL.SAS7BDAT,0.95,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEHR42SD.zip
KEHR42SV.zip,KE,Kerala,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,KEHR42FL.SAV,0.74,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEHR42SV.zip
KEIR42.zip,,,,,,,,,KEIR42.DAT,3.86,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: KEIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEIR42.zip
KEIR42DT.zip,KE,Kerala,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,KEIR42FL.DTA,1.22,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEIR42DT.zip
KEIR42FL.zip,KE,Kerala,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),KEIR42FL.DAT,2.87,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEIR42FL.zip
KEIR42SD.zip,KE,Kerala,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,KEIR42FL.SAS7BDAT,1.92,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEIR42SD.zip
KEIR42SV.zip,KE,Kerala,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,KEIR42FL.SAV,1.29,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/KEIR42SV.zip
MGHR42DT.zip,MG,Meghalaya,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,MGHR42FL.DTA,0.55,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGHR42DT.zip
MGHR42FL.zip,MG,Meghalaya,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),MGHR42FL.DAT,2.19,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGHR42FL.zip
