state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Shirdi,MAHARASHTRA,SHIRDI,sex_ratio,,females_per_1000_males,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,urban_pct,,percent,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,literacy_rate,,percent,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,sc_pct,,percent,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,st_pct,,percent,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,religion_hindu_pct,,percent,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,religion_muslim_pct,,percent,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,population_density,,persons_per_sq_km,,,,,,,,,
Tamil Nadu,COIMBATORE,TAMIL NADU,COIMBATORE,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,urban_pct,,percent,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,literacy_rate,,percent,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,sc_pct,,percent,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,st_pct,,percent,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Wardha,MAHARASHTRA,WARDHA,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,urban_pct,,percent,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,literacy_rate,,percent,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,sc_pct,,percent,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,st_pct,,percent,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Yavatmal- Washim,MAHARASHTRA,YAVATMAL WASHIM,sex_ratio,,females_per_1000_males,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,urban_pct,,percent,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,literacy_rate,,percent,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,sc_pct,,percent,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,st_pct,,percent,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,religion_hindu_pct,,percent,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,religion_muslim_pct,,percent,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,population_density,,persons_per_sq_km,,,,,,,,,
Rajasthan,BARMER,RAJASTHAN,BARMER,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,urban_pct,,percent,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,literacy_rate,,percent,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,sc_pct,,percent,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,st_pct,,percent,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Mumbai North,MAHARASHTRA,MUMBAI NORTH,sex_ratio,,females_per_1000_males,,,,,,,,,
