candidate_id,year,poll_type,source,source_file,source_page,source_table_index,source_table_title,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,raw_row_label,raw_column_label,raw_cell_value,extraction_confidence,evidence_text,candidate_status,notes
e730e593-1b08-457d-8368-57224d241b59,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,AAP,80.0,04: Manish Sisodia (AAP),(%),0.8,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
e6269e23-9314-4cb0-8bde-9fc263d35c97,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,BJP,3.5,05: Harsh Vardhan (BJP),(%),3.5,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
8577acab-160b-425e-af49-cb9ce134102d,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,BJP,2.0,06: Manoj Tiwari (BJP),(%),2.0,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
539cdd66-79de-466d-964a-9f1c96504356,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,INC,20.0,07: Ajay Maken (Cong),(%),0.2,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
5b4788e2-0b8e-445a-897d-e817f47aedae,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,BJP,10.0,08: Vijay Goel (BJP),(%),0.1,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
f2074696-fe46-4b3b-956b-65591fe3d1ff,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,INC,40.0,09: Arvinder Singh Lovely (Cong),(%),0.4,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
2ba92cbf-78ba-42f1-adff-57b37e80a998,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,Others,4.3,25: Other Cong leaders,(%),4.3,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
ef0af1f1-29df-498b-8236-b3978ab6f4c3,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,Others,6.8,26: Other BJP leaders,(%),6.8,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
e7fa9fa1-02e8-4eca-8753-f6dc49bc6fc1,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,Others,20.0,27: Other AAP leaders,(%),0.2,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
f121be0e-7ce5-479c-85d0-94e1eba4fa03,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,Others,1.4,95: Other leaders,(%),1.4,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
