catalog_id,catalog_url,state_code,state_name_guess,filename,download_url,local_path,status,file_size_bytes,sha256,error
11384,https://censusindia.gov.in/nada/index.php/catalog/11384,17,Meghalaya,DDW17C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11384/download/14497/DDW17C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW17C-01_MDDS.XLS,downloaded,69632,b73b61e358e3ad7191c17510adfd4d36477f974c80b815c90dda4fb63a0789e7,
11365,https://censusindia.gov.in/nada/index.php/catalog/11365,18,Assam,DDW18C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11365/download/14478/DDW18C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW18C-01_MDDS.XLS,downloaded,286208,a7a01c11d4e2c030ed1605c2dd6436bb97fd971c3821253b7aef08a52c3fc902,
11396,https://censusindia.gov.in/nada/index.php/catalog/11396,19,West Bengal,DDW19C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11396/download/14509/DDW19C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW19C-01_MDDS.XLS,downloaded,663552,723b9edf6254c86adac24e5ccd99efb74e044eac5ff31683910f05357ee179c9,
11377,https://censusindia.gov.in/nada/index.php/catalog/11377,20,Jharkhand,DDW20C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11377/download/14490/DDW20C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW20C-01_MDDS.XLS,downloaded,354304,ce85844d687a03b9ccf05f628c264e68d03fc328990771a1d413627b6ecc4911,
11387,https://censusindia.gov.in/nada/index.php/catalog/11387,21,Odisha,DDW21C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11387/download/14500/DDW21C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW21C-01_MDDS.XLS,downloaded,559104,3cfc1100df768aa8de46ecb865a8e5a0516c27d5a60a07219f73afe3b028429d,
11368,https://censusindia.gov.in/nada/index.php/catalog/11368,22,Chhattisgarh,DDW22C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11368/download/14481/DDW22C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW22C-01_MDDS.XLS,downloaded,238592,96193fc25b6bc5cd63eb2fb2e9b06cefb1d45214ee86aa5098995b85621f3bb7,
11381,https://censusindia.gov.in/nada/index.php/catalog/11381,23,Madhya Pradesh,DDW23C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11381/download/14494/DDW23C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW23C-01_MDDS.XLS,downloaded,535552,ae8aa3a2003e8070f6b88011953cd50ca344a2716179e7db4fe479688be6379c,
11373,https://censusindia.gov.in/nada/index.php/catalog/11373,24,Gujarat,DDW24C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11373/download/14486/DDW24C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW24C-01_MDDS.XLS,downloaded,365056,1aec4398df786adb5076b25e128cbcd2af2a94437c332f242ad829aae2deddee,
11370,https://censusindia.gov.in/nada/index.php/catalog/11370,25,Daman & Diu,DDW25C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11370/download/14483/DDW25C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW25C-01_MDDS.XLS,downloaded,26624,5ea87ed51a73a0d8f52c626beb62a9a233a71b342da505afd959d87ae0da8c97,
11369,https://censusindia.gov.in/nada/index.php/catalog/11369,26,Dadra & Nagar Haveli,DDW26C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11369/download/14482/DDW26C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW26C-01_MDDS.XLS,downloaded,24064,b9172c163de726447fd95bb30f8ea74c30f936ead990facbf19da4950fccb891,
11382,https://censusindia.gov.in/nada/index.php/catalog/11382,27,Maharashtra,DDW27C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11382/download/14495/DDW27C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW27C-01_MDDS.XLS,downloaded,553472,bce626419f500bd7e1525b74e2da64285e4a5c021b65cee7492b1ba6b62bb9bd,
11363,https://censusindia.gov.in/nada/index.php/catalog/11363,28,Andhra Pradesh,DDW28C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11363/download/14476/DDW28C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW28C-01_MDDS.XLS,downloaded,1221632,48a09e1e1dce2ab35fe2bf8ae36499c8ff03beaa4d0a910fe9282ee071cd237c,
11378,https://censusindia.gov.in/nada/index.php/catalog/11378,29,Karnataka,DDW29C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11378/download/14491/DDW29C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW29C-01_MDDS.XLS,downloaded,326656,c0f40e1ede9d35e5e52357b759c58b6b2424223c202d97baabbeedfe05ad8e0a,
11372,https://censusindia.gov.in/nada/index.php/catalog/11372,30,Goa,DDW30C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11372/download/14485/DDW30C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW30C-01_MDDS.XLS,downloaded,54784,ebf0790fb3f6576a8b9c0e0d7e3c2f701a94ca37631fc5d3d327fc6467aff34a,
11380,https://censusindia.gov.in/nada/index.php/catalog/11380,31,Lakshadweep,DDW31C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11380/download/14493/DDW31C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW31C-01_MDDS.XLS,downloaded,32256,094c23d03e0507683ca8ac7e0757dfcee382d2f7a557a7a17b532d50da609951,
11379,https://censusindia.gov.in/nada/index.php/catalog/11379,32,Kerala,DDW32C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11379/download/14492/DDW32C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW32C-01_MDDS.XLS,downloaded,262656,d155653175c6f462ad9f89fa88552e36919424c41a61c56ab1ca7e829d38dead,
11392,https://censusindia.gov.in/nada/index.php/catalog/11392,33,Tamil Nadu,DDW33C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11392/download/14505/DDW33C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW33C-01_MDDS.XLS,downloaded,606208,5766414c82e96d26f3c15d87e468742d7cb68a9fdfab5f9d5a41e5d1525dd7f2,
11388,https://censusindia.gov.in/nada/index.php/catalog/11388,34,Puducherry,DDW34C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11388/download/14501/DDW34C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW34C-01_MDDS.XLS,downloaded,34816,988de29f40428b5fb8deb273d637c37c05b8ab5be2d266d944871c6531bade39,
11362,https://censusindia.gov.in/nada/index.php/catalog/11362,35,Andaman & Nicobar Islands,DDW35C-01 MDDS.XLS,https://censusindia.gov.in/nada/index.php/catalog/11362/download/14475/DDW35C-01%20MDDS.XLS,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/demographics/census/raw/religion/DDW35C-01_MDDS.XLS,downloaded,32768,4b94e106e8114eb9ddadf96c6a0e0c0260a3175d85c34600775f8ae4b9bbde6c,
