col_0,col_1,N,(%),Valid (%)
,42: Mission Indradhanush,1,.0,.0
,43: Mudra Yojana,40,.2,.3
,44: Namami Gange Yojna,13,.1,.1
,45: National Career Service (India)(NCS),12,.0,.1
,46: National Child Labor Projects(NCLP),2,.0,.0
,47: National Food Security Mission,3,.0,.0
,48: National Pension Scheme National Rural Livelihood Mission(NRLM),5,.0,.0
,49: National Service Scheme,0,.0,.0
,50: National Social Assistance Scheme,9,.0,.1
,51: National Urban Livelihood Mission(NULM),11,.0,.1
,52: One Rank One Pension Scheme,9,.0,.1
,53: PAHAL-Direct Benefits Transfer For LPG (DBTL) Consumers Scheme,10,.0,.1
,54: Rajiv Awas Yojana[14],22,.1,.2
,55: Rajiv Gandhi Grameen Vidyutikaran Yojana[15],3,.0,.0
,56: Rashtriya Krishi Vikas Yojana,13,.1,.1
,57: Rashtriya Swasthya Bima Yojana,7,.0,.1
,58: Rojgar Protsahan Yojana,29,.1,.2
,59: Sahaj Bijli Yojna- Saubhagya,6,.0,.1
,60: Sampoorna Grameen Rozgar Yojana,3,.0,.0
,61: Sansad Adarsh Gram Yojana,4,.0,.0
,63: Shramew Jayate Yojana,3,.0,.0
,65: Skill India Mission,22,.1,.2
,66: Smart Cities Mission Soil Health Card Scheme,12,.1,.1
,67: Sovereign Gold Bond Scheme,2,.0,.0
,68: Stand Up India,8,.0,.1
,69: Start-Up India,18,.1,.1
,70: Sukanya Samridhi Yojana,34,.1,.3
,71: Suraksha Bima Yojana,10,.0,.1
,73: Surakshit Sadak Yojan,15,.1,.1
,74: Swabhiman,10,.0,.1
,75: Swachchh Bharat Mission,761,3.1,6.3
