col_0,col_1,N,(%)
,02: Bengali,1908,7.9
,03: Bodo,32,.1
,04: Dogri,74,.3
,05: English,51,.2
,06: Gujarati,1205,5.0
,07: Hindi,6942,28.6
,08: Kannada,1129,4.7
,09: Kashmiri,124,.5
,10: Konkani,56,.2
,11: Maithili,136,.6
,12: Malayalam,737,3.0
,13: Manipuri/Meithei,30,.1
,14: Marathi,1968,8.1
,15: Nepali,15,.1
,16: Oriya,663,2.7
,17: Punjabi,548,2.3
,19: Santhali,86,.4
,20: Sindhi,11,.0
,21: Tamil,1464,6.0
,22: Telugu,1724,7.1
,23: Urdu,338,1.4
,30: Haryanavi,335,1.4
,31: Marwari,333,1.4
,32: Bhojpuri,905,3.7
,33: Magadhi,85,.4
,34: Dhundari,91,.4
,35: Braj,66,.3
,36: Hadauti,109,.5
,37: Mewari,46,.2
,38: Bhili,4,.0
,39: Bundelkhandi,131,.5
,40: Gondi,21,.1
,41: Malwi,75,.3
