col_0,col_1,1: No,col_3,col_4,col_5,2: Yes,col_7,col_8,col_9,col_10,col_11,97: Don’t know,col_13,col_14,col_15,col_16,98: Did not respond,col_18,col_19,col_20,col_21,col_22,Total,col_24,col_25,col_26,col_27
,,N,,(%),,N,,,(%),,,N,,(%),,,N,,,(%),,,N,,,(%),
a: BJP,8603,,43.8,,8771,,,44.6,,,1771,,,9.0,,517,,,2.6,,,19663,,,100.0,,
b: Congress,10089,,51.3,,8771,,,44.6,,,1771,,,9.0,,517,,,2.6,,,19663,,,100.0,,
c: State Party 1st,9838,,50.0,,6378,,,32.4,,,2714,,,13.8,,734,,,3.7,,,19663,,,100.0,,
d: State Party 2nd,11192,,57.6,,4440,,,22.9,,,2814,,,14.5,,976,,,5.0,,,19423,,,100.0,,
