col_0,col_1,N,(%),Valid (%)
,"09: Hunger, starvation, Lack of food",65,.3,.3
,10: GST,196,.8,.9
,11: Demonetization,188,.8,.8
,12: Development,3203,13.2,14.3
,13: Lack of development,513,2.1,2.3
,14: Good governance/good delivery,199,.8,.9
,15: Poor governance,48,.2,.2
,16: Condition of roads/highways,199,.8,.9
,"17: Transport services – buses, trains, flights",67,.3,.3
,18: Condition of hospitals/health facilities/,73,.3,.3
,19: Condition of schools or colleges,176,.7,.8
,20: Electricity-related problem,110,.5,.5
,21: Water-related problem,509,2.1,2.3
,22: Condition of drains/sewerage problem,78,.3,.3
,23: Good performance of the government,353,1.5,1.6
,24: Poor performance by the government,60,.2,.3
,"25: Vote for change, change of government",448,1.9,2.0
,26: Vote for stability,58,.2,.3
,27: Vote for Modi or BJP,166,.7,.7
,28: Vote against Modi or BJP,81,.3,.4
,29: Vote for Rahul Gandhi/Priyanka Gandhi,21,.1,.1
,30: Vote against Rahul Gandhi/Priyanka Gandhi,35,.1,.2
,31: Vote in favour of any other party or leader,165,.7,.7
,32: Vote against any other party or leader,29,.1,.1
,33: Vote against a coalition government,5,.0,.0
,34: Vote for a coalition government,20,.1,.1
,35: Vote for a candidate/any particular candidate,169,.7,.8
,36: Corruption (generally),695,2.9,3.1
,37: Corrupt politicians,75,.3,.3
,38: Corruption of government officers,26,.1,.1
,39: Scams (generally),34,.1,.2
,40: Rafale aircraft scam,34,.1,.2
