col_0,col_1,N,(%),Valid (%)
,078: BVP,5,.0,.0
,079: SDF,1,.0,.0
,082: TRS,312,1.3,1.4
,083: AIADMK,222,.9,1.0
,084: AMMK,130,.5,.6
,085: DMK,417,1.7,1.9
,086: DMDK,7,.0,.0
,087: PMK,66,.3,.3
,088: VCK,3,.0,.0
,089: MDMK,23,.1,.1
,093: MNM),2,.0,.0
,101: RLD,106,.4,.5
,103: Quami Ekta Dal (QED),1,.0,.0
,106: SBSP,1,.0,.0
,109: Left Front,1,.0,.0
,110: SUCI,1,.0,.0
,120: NDPP,11,.0,.0
,121: BLF,1,.0,.0
,124: NTK,38,.2,.2
,126: VBA,155,.6,.7
,127: PSP,3,.0,.0
,131: UDF supported Independent,8,.0,.0
,500: UPA,3,.0,.0
,505: Awami Ittehad Party,4,.0,.0
,900: Independent,44,.2,.2
,901: No party,1,.0,.0
,902: NOTA,43,.2,.2
,997: Any other party,42,.2,.2
,998: No response/Can’t say,2230,9.2,10.0
,Total,22380,92.3,100.0
Missing,999: N.A.,1855,7.7,
Total,,24235,100.0,
