col_0,col_1,N,(%),Valid (%)
Valid,1: No,3142,31.4,42.1
,2: Yes,3719,37.2,49.8
,8: No response,606,6.1,8.1
,Total,7466,74.6,100.0
Missing,9: N.A.,2544,25.4,
Total,,10010,100.0,
