col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Would have voted for the same party,,9468,,,48.2,,,51.5,,
,,02: Would have voted for a different party,,4496,,,22.9,,,24.4,,
,,03: Not sure about voting choice,,666,,,3.4,,,3.6,,
,,98: Don’t Know/Can’t Say,,3763,,,19.1,,,20.5,,
,,Total,,18393,,,93.5,,,100.0,,
