col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,636: Buksa,,4,,,.0,,
,,637: Jannsari,,10,,,.0,,
,,638: Tharu,,3,,,.0,,
,,639: Malayali,,2,,,.0,,
,,641: Dhodia,,0,,,.0,,
,,699 Other STs (Denotified Tribes),,237,,,1.2,,
,,700 Ashrafs (Sayyad Shaikh),,304,,,1.5,,
,,710 Mughal (Khan),,135,,,.7,,
,,720 Rajput (Muslim Peasant Proprietors),,4,,,.0,,
,,730 Other Upper Caste Muslims,,73,,,.4,,
,,732: Muslim Middle for Kashmir,,57,,,.3,,
,,740 Peasants/Traders,,35,,,.2,,
,,750 Craftsmen/Weavers,,355,,,1.8,,
,,760 Service Muslims,,97,,,.5,,
,,770 Ex-Untouchables/Muslim Dalits,,28,,,.1,,
,,780 Other Muslim OBC,,779,,,4.0,,
,,790 Muslim No Caste/Other Muslims,,84,,,.4,,
,,791: Qurashi,,0,,,.0,,
,,792: Muslim OBC and Lower caste (for Kashmir),,6,,,.0,,
,,799: Muslim No Caste/Other Muslims,,205,,,1.0,,
,,800 Jat Sikh,,153,,,.8,,
,,810 Khatri/Arora Sikh,,23,,,.1,,
,,820 OBC SIkh,,42,,,.2,,
,,825: Majhabi Sikh,,68,,,.3,,
,,830 Sikh No Caste/Other Sikhs,,23,,,.1,,
,,840: Upper Caste Christians,,59,,,.3,,
,,850: OBC Christians,,74,,,.4,,
,,860: Dalit Christians,,159,,,.8,,
,,870: Christians No Caste/Other Christians,,23,,,.1,,
,,890 Buddhists,,1,,,.0,,
,,900 Dalit Buddhists,,82,,,.4,,
,,995: Hindu no caste,,192,,,1.0,,
,,998: No religion no caste (Only when Respondent says so),,2960,,,15.1,,
