col_0,col_1,col_2,N,col_4,col_5,(%),col_7
,,15: Agricultural Labourer,1320,,6.7,,
,,16: Dairy/Fish/Poultry/Animal Husbandry work,231,,1.2,,
,,17: Student but doing part time job,235,,1.2,,
,,18: Housewife/househusband but doing part time job,1294,,6.6,,
,,19: Student,1063,,5.4,,
,,20: Housewife/househusband,4528,,23.0,,
,,21: Unemployed or looking for employment,782,,4.0,,
,,97: Any other,529,,2.7,,
,,98: Did not tell,779,,4.0,,
,,Total,19663,,100.0,,
