col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,01: Leader form same religion,3319,,,33.1,,
,,02: Leader from different religion,1260,,,12.6,,
,,03: Will not make any difference,4430,,,44.2,,
,,98: Don‟t know,1009,,,10.1,,
,,Total,10019,,,100.0,,
