col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,540 Dom,,27,,,.1,,
,,545 Nomadic/Service SC,,13,,,.1,,
,,546: Shilpkar,,1,,,.0,,
,,550: Lowest SC: Musahar,,26,,,.1,,
,,556: Vankar,,12,,,.1,,
,,557: Dhanuk,,7,,,.0,,
,,558: Gond,,1,,,.0,,
,,559: Khatik,,10,,,.1,,
,,560: Kori,,17,,,.1,,
,,561: Thiruvalluvar,,1,,,.0,,
,,562: Adi Karnataka,,71,,,.4,,
,,563: Adi Dravida,,23,,,.1,,
,,564: Banjara,,9,,,.0,,
,,565: Bhambi,,1,,,.0,,
,,566: Bhovi,,11,,,.1,,
,,567: Chalavadi,,1,,,.0,,
,,568: Holaya Holeya/Holaya Dasar/ Chalavadi/Adi-dravida/Adagai,,18,,,.1,,
,,571: Pulaya,,13,,,.1,,
,,572: Paraya,,0,,,.0,,
,,573: Kuruva,,18,,,.1,,
,,575: Velan,,0,,,.0,,
,,576: Thandan,,8,,,.0,,
,,"577: Kumar, Mali, Koibarta: Thakuria, Hazarika, Medhi, Das",,16,,,.1,,
,,"578: Das, Malakar",,13,,,.1,,
,,"579: Hadi: Mahal, Dalai",,2,,,.0,,
,,581: Bhuian,,33,,,.2,,
,,583: Matang,,13,,,.1,,
,,584: Barwala,,0,,,.0,,
,,586: Batwal,,0,,,.0,,
,,590: Bagdi Duley,,22,,,.1,,
,,591: Bauri,,16,,,.1,,
,,592: Jalia Kaibartta,,8,,,.0,,
,,593: Jhalo Malo Malo,,9,,,.0,,
