col_0,col_1,N,(%),Valid (%)
,020: RSP,11,.0,.1
,021: AIMIM,5,.0,.0
,022: TDP,255,1.1,1.1
,023: YSRCP,301,1.2,1.3
,024: Jana Sena,47,.2,.2
,026: AGP,22,.1,.1
,027: AIUDF,29,.1,.1
,028: BPF,8,.0,.0
,029: HAM,36,.1,.2
,030: RLSP,16,.1,.1
,031: VIP,40,.2,.2
,033: GGP,1,.0,.0
,036: BTP,28,.1,.1
,037: JJP,7,.0,.0
,039: National Conference,30,.1,.1
,040: PDP,2,.0,.0
,041: Panthers Party,0,.0,.0
,042: People’s Conference,9,.0,.0
,043: AJSUP,47,.2,.2
,045: UDF,17,.1,.1
,046: LDF,2,.0,.0
,047: KC-M,3,.0,.0
,049: BDJS,5,.0,.0
,060: NPF,5,.0,.0
,061: NPP,8,.0,.0
,062: MNDF,0,.0,.0
,063: NEIDP,0,.0,.0
,064: UDP,5,.0,.0
,070: BJD,251,1.0,1.1
,071: SAD,95,.4,.4
,072: LIP,11,.0,.0
,074: SAD-T,2,.0,.0
,075: SAD(Amritsar),2,.0,.0
