col_0,col_1,N,(%)
,1: Very,175,29.1
,2: Somewhat,154,25.6
,3: Not much,107,17.8
,4: Not at all,123,20.4
,8: Can't say,27,4.4
,9: No response,17,2.8
,Total,603,100.0
