col_0,col_1,N,(%)
,01: Television/TV news channel,11841,48.9
,02: Newspapers,2365,9.8
,03: Radio,247,1.0
,04: Internet/Online news websites,361,1.5
,05: Social media (in general),400,1.7
,06: Facebook,78,.3
,07: Twitter,59,.2
,08: Whatsapp,99,.4
,09: Instagram,19,.1
,10: Youtube,55,.2
,11: Mobile phone,453,1.9
,12: Friends/neighbours,695,2.9
,13: Family / relatives,823,3.4
,14: From people (generally),894,3.7
,15: From village head,231,1.0
,96: Others,186,.8
,97: Can’t say,110,.5
,98: No response,5319,21.9
,Total,24235,100.0
