col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,376: Kumar,,1,,,.0,,
,,"377: Namasudra, Dami",,1,,,.0,,
,,378: Kosti-Sali-Padmashali,,3,,,.0,,
,,379: Daoli (Refine gold from sand),,1,,,.0,,
,,391: Other Craftsmen,,1,,,.0,,
,,399 Other Craftsmen,,31,,,.2,,
,,400 Kewat (Fishermen &amp; Boatmen) (Except those in SC),,64,,,.3,,
,,410: Dhobi (Washermen),,28,,,.1,,
,,420 Nai (Barber),,78,,,.4,,
,,430 Teli (Oil Pressers),,134,,,.7,,
,,435 Jogi (Mendicants &amp; seek Alms),,33,,,.2,,
,,445 Trader OBCs,,32,,,.2,,
,,455: Toddy Tappers- Telangana/ Ezhavas- Kerala,,90,,,.5,,
,,460 Landless Labourers,,2,,,.0,,
,,470 Entertaining Castes,,14,,,.1,,
,,471: Bhandari Naik,,1,,,.0,,
,,"478: Chutiya, Koch",,2,,,.0,,
,,479: Vaishya,,6,,,.0,,
,,481: Tea Garden Caste,,9,,,.0,,
,,492: Jhimar,,1,,,.0,,
,,499 Other Service OBCs,,583,,,3.0,,
,,500 Chamar,,964,,,4.9,,
,,501: Satnami,,5,,,.0,,
,,510 Balmiki,,113,,,.6,,
,,511: Arundhatiyars,,53,,,.3,,
,,"520: Pasi: Pasi, Tarmali",,196,,,1.0,,
,,521: Pano: Pano,,29,,,.1,,
,,523: Devendrakula Vellars: Pallar,,64,,,.3,,
,,525: Rajbanshis,,31,,,.2,,
,,526: Mala: Parayar,,147,,,.7,,
,,530 Namashudras,,303,,,1.5,,
,,"531: Mahar: Mahar, Mehra, Mehar",,65,,,.3,,
,,535 Dhobi,,86,,,.4,,
