col_0,col_1,N,(%),col_4,Valid,col_6
,,,,,(%),
Valid,01: I was not in my village/city.,474,2.4,37.3,,
,02: I was ill.,407,2.1,32.0,,
,03: Did not feel like voting/Not interested in voting.,105,.5,8.3,,
,04: The head of the family told me not to vote.,4,.0,.3,,
,05: Community/religious leader told me not to vote.,3,.0,.2,,
,06: I did not have an identity card/necessary documents,38,.2,3.0,,
,07: The candidate was not good.,14,.1,1.1,,
,08: I did not want to vote because it will not change anything,32,.2,2.6,,
,09: Lack of development.,12,.1,1.0,,
,10: I/the entire village boycotted the elections.,2,.0,.2,,
,11: Someone else voted in my place.,4,.0,.3,,
,12: I don’t know about my polling station.,4,.0,.3,,
,13: The polling station was very far away from my house; it was difficult to go.,14,.1,1.1,,
,14: There was a long line at the polling station and I did not have time.,14,.1,1.1,,
,15: Didn’t go because of fear.,0,.0,.0,,
,16: My name was not in the voter list.,34,.2,2.7,,
,97: Any other reason,53,.3,4.2,,
,98: No answer,54,.3,4.3,,
,Total,1270,6.5,100.0,,
Missing,99: Not applicable,18393,93.5,,,
Total,,19663,100.0,,,
