col_0,col_1,N,(%),Valid (%)
Valid,1: Daily,704,2.9,4.8
,2: Sometimes,2741,11.3,18.9
,3: Rarely,2192,9.0,15.1
,4: Never,7803,32.2,53.7
,8: No response,1079,4.5,7.4
,Total,14518,59.9,100.0
Missing,9: N.A.,9717,40.1,
Total,,24235,100.0,
