col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Rahul Gandhi,,5301,,,27.0,,
,,02: Narendra Modi,,7998,,,40.7,,
,,03: Priyanka Gandhi,,306,,,1.6,,
,,04: Amit Shah,,96,,,.5,,
,,05: Arvind Kejriwal,,375,,,1.9,,
,,06: J.P. Nadda,,35,,,.2,,
,,07: Mallikarjun Kharge,,270,,,1.4,,
,,08: Nitish Kumar,,224,,,1.1,,
,,09: Yogi Adityanath,,782,,,4.0,,
,,10: Himanta Biswa Sarma,,84,,,.4,,
,,11: Mamata Banerjee,,843,,,4.3,,
,,12: M.K. Stalin,,109,,,.6,,
,,97: Any other,,798,,,4.1,,
,,98: No response,,2443,,,12.4,,
,,Total,,19663,,,100.0,,
