col_0,col_1,N,(%)
,027: AIUDF,1,.0
,028: BPF,1,.0
,034: MGP,0,.0
,036: BTP,3,.0
,037: JJP,4,.0
,039: National Conference,17,.1
,040: PDP,2,.0
,041: Panthers Party,2,.0
,042: People’s Conference,1,.0
,045: UDF,77,.3
,046: LDF,78,.3
,047: KC-M,1,.0
,054: BBM,14,.1
,059: MSP,2,.0
,060: NPF,5,.0
,061: NPP,5,.0
,062: MNDF,0,.0
,064: UDP,1,.0
,066: GNC,0,.0
,070: BJD,181,.7
,071: SAD,46,.2
,074: SAD-T,1,.0
,075: SAD(Amritsar),3,.0
,078: BVP,2,.0
,082: TRS,112,.5
,083: AIADMK,306,1.3
,084: AMMK,9,.0
,085: DMK,227,.9
,086: DMDK,7,.0
,087: PMK,50,.2
,089: MDMK,12,.1
,090: IJK,1,.0
,093: MNM),3,.0
