col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Within 6 months,,159,,,1.6,,
,,02: 6 months and above but less than a year,,380,,,3.8,,
,,03: 1 year and above but less than 2 years,,463,,,4.6,,
,,04: 2 years to 4 years,,1215,,,12.1,,
,,05: 5 years and above,,6611,,,66.0,,
,,98: Don‟t know,,1190,,,11.9,,
,,Total,,10019,,,100.0,,
