col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
,,42: Apna Dal (Sonelal),,2,,,.0,,,.0,,
,,97: Other regional parties,,56,,,.6,,,1.0,,
,,98: Don‟t know,,646,,,6.4,,,11.2,,
,,Total,,5749,,,57.4,,,100.0,,
Missing,,99: Not applicable,,4270,,,42.6,,,,,
Total,,,,10019,,,100.0,,,,,
