col_0,col_1,N,(%),Valid (%)
Valid,01: Scientists,95,.4,.7
,02: Engineers,157,.6,1.2
,03: Doctors,47,.2,.4
,04: Lawyers,51,.2,.4
,05: Accountants,35,.1,.3
,06: College/Univ. Teachers,77,.3,.6
,07: Writers,18,.1,.1
,08: Modern Artists,19,.1,.1
,09: Other higher professionals,57,.2,.4
,10: Science and engineering technicians,21,.1,.2
,11: Computer operators,27,.1,.2
,12: Alternative doctors,6,.0,.0
,13: Medical technicians,26,.1,.2
,14: School teachers,254,1.0,1.9
,15: Nursery teachers,66,.3,.5
,16: Folk and commercial artists,3,.0,.0
,18: Priests,29,.1,.2
,19: Other lower professionals,68,.3,.5
,20: Elected Officials: Top central/state level,3,.0,.0
,21: Elected Officials: District level elected officials,10,.0,.1
,22: Managers,65,.3,.5
,23: Officials Class I,19,.1,.1
,24: Officials Class II,49,.2,.4
,25: Class III Employee (Clerical),159,.7,1.2
,26: Superintendents,9,.0,.1
,27: Traditional clerks,12,.0,.1
