col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Influential people,,2156,,,21.5,,
,,02: Minorities,,398,,,4.0,,
,,03: Migrants/outsiders,,452,,,4.5,,
,,04: Upper castes,,747,,,7.5,,
,,05: Political Parties,,1789,,,17.9,,
,,06: Government officials,,509,,,5.1,,
,,07: Religious leaders/hate speech makers,,772,,,7.7,,
,,08: Big corporate houses,,669,,,6.7,,
,,98: Don‟t know,,2527,,,25.2,,
,,Total,,10019,,,100.0,,
