col_0,col_1,N,(%),Valid (%)
Valid,1: Voted for party/candidate I wanted to vote,19145,79.0,85.5
,2: Voted for another party/candidate,1609,6.6,7.2
,7: Can't say,887,3.7,4.0
,8: No response,739,3.0,3.3
,Total,22381,92.3,100.0
Missing,9: N.A.,1855,7.7,
Total,,24235,100.0,
