col_0,col_1,N,(%)
,02: Bengali,1216,5.0
,03: Bodo,4,.0
,04: Dogri,33,.1
,05: English,115,.5
,06: Gujarati,587,2.4
,07: Hindi,8537,35.2
,08: Kannada,1159,4.8
,09: Kashmiri,28,.1
,10: Konkani,10,.0
,11: Maithili,8,.0
,12: Malayalam,722,3.0
,13: Manipuri/Meithei,22,.1
,14: Marathi,1538,6.3
,15: Nepali,0,.0
,16: Oriya,460,1.9
,17: Punjabi,389,1.6
,19: Santhali,8,.0
,21: Tamil,1527,6.3
,22: Telugu,1430,5.9
,23: Urdu,161,.7
,30: Haryanavi,16,.1
,31: Marwari,2,.0
,32: Bhojpuri,23,.1
,35: Braj,1,.0
,40: Gondi,1,.0
,42: Bagheli,8,.0
