col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,Valid (%),col_11
Valid,,1: Up to 25 yrs,,1170,,,11.7,,,11.7,
,,2: 26-35 yrs,,2571,,,25.7,,,25.7,
,,3: 36-45 yrs,,2295,,,22.9,,,22.9,
,,4: 46-55 yrs,,1854,,,18.5,,,18.5,
,,5: 56 yrs. and above,,2128,,,21.2,,,21.2,
,,Total,,10017,,,100.0,,,100.0,
Missing,,98: No answer,,2,,,.0,,,,
Total,,,,10019,,,100.0,,,,
