col_0,col_1,N,(%),Valid (%)
,2: Scheduled Tribe (ST),897,9.0,9.0
,3: Other Backward Classes (OBC),4263,42.6,43.0
,4: Other,3063,30.6,30.9
,Total,9925,99.1,100.0
Missing,9: N.A.,85,.9,
Total,,10010,100.0,
