col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: A lot,,1104,,,11.0,
,,02: Somewhat,,3005,,,30.0,
,,03: Not much,,1773,,,17.7,
,,04: Not at all,,1374,,,13.7,
,,98: Don‟t know,,964,,,9.6,
,,99: I don‟t use social media,,1798,,,17.9,
,,Total,,10019,,,100.0,
