col_0,col_1,N,(%),Valid (%)
,4: House/Flat with 3 rooms,756,7.6,23.2
,5: House with 2 rooms,900,9.0,27.6
,6: House with 1 room,401,4.0,12.3
,7: Mainly a kutcha house,137,1.4,4.2
,8: Slum/jhuggi/jhopdi,57,.6,1.7
,Total,3261,32.6,100.0
Missing,9: N.A.,6749,67.4,
Total,,10010,100.0,
