col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
Valid,,01: Higher Professionals,,184,,,1.8,,,3.3,,
,,02: Lower Professionals,,184,,,1.8,,,3.3,,
,,03: Government Managerial job,,24,,,.2,,,.4,,
,,04: Government Administrative job,,55,,,.6,,,1.0,,
,,05: Government Clerical Jobs,,122,,,1.2,,,2.2,,
,,06: Government Class IV,,60,,,.6,,,1.1,,
,,07: Big and Medium Traders,,224,,,2.2,,,4.0,,
,,08: Small Trader,,457,,,4.6,,,8.2,,
,,09: Small/Temporary Business,,283,,,2.8,,,5.1,,
,,10: Service/Service Area,,157,,,1.6,,,2.8,,
,,11: Skilled Workersr,,361,,,3.6,,,6.5,,
,,12: Semi-skilled workers,,182,,,1.8,,,3.3,,
,,13: Wage labourer (non-agriculture),,483,,,4.8,,,8.7,,
,,14: Farmer,,1262,,,12.6,,,22.6,,
,,15: Agricultural Labourer,,545,,,5.4,,,9.8,,
,,16: Dairy/Fish/Poultry/Animal Husbandry work,,152,,,1.5,,,2.7,,
,,17: Student but doing part time job,,23,,,.2,,,.4,,
,,18: Housewife/househusband but doing part time job,,37,,,.4,,,.7,,
,,19: Student,,37,,,.4,,,.7,,
