col_0,col_1,N,(%),col_4,Valid,col_6
,,,,,(%),
Valid,001: Indian National Congress,3897,19.8,21.2,,
,002: Bharatiya Janta Party,6724,34.2,36.6,,
,003: Bahujan Samaj Party,375,1.9,2.0,,
,004: Aam Adami Party,213,1.1,1.2,,
,005: Communist Party of India-Marxist,382,1.9,2.1,,
,006: Communist Party of India,45,.2,.2,,
,007: Yuvajana Sramika Rythu Congress Party,455,2.3,2.5,,
,008: Telegu Desam Party,444,2.3,2.4,,
,009: Jana Sena Party,25,.1,.1,,
,012: Asom Gana Parishad,25,.1,.1,,
,"014: United People’s Party, Liberal",33,.2,.2,,
,017: Bodoland Peoples,28,.1,.2,,
,018: Janata Dal (United),180,.9,1.0,,
,019: Rashtriya Janata Dal (RJD),326,1.7,1.8,,
,020: Communist Party of India (Marxist-Leninist) Liberation,84,.4,.5,,
,021: Lok Jan Shakti Party (Ram Vilas),80,.4,.4,,
,028: Gondvana Gantantra Party,1,.0,.0,,
,031: Revolutionary Goans Party,1,.0,.0,,
,034: Jananayak Janata Party,4,.0,.0,,
,035: Indian National Lok Dal,4,.0,.0,,
,036: Jammu & Kashmir National Conference,35,.2,.2,,
,037: Jammu and Kashmir Peoples Democratic Party,24,.1,.1,,
,039: Jammu and Kashmir People’s Conference,8,.0,.0,,
,041: Jammu and Kashmir Apni Party,3,.0,.0,,
,044: Jharkhand Mukti Morcha,69,.4,.4,,
,046: Janata Dal (Secular),71,.4,.4,,
,048: Maharashtra Ekikaran Samiti,3,.0,.0,,
,050: Indian Union Muslim League (IUML),29,.1,.2,,
,051: Revolutionary Socialist Party (RSP),6,.0,.0,,
,055: Bharat Dharma Jana Sena,1,.0,.0,,
