col_0,col_1,N,(%)
,66: Unskilled labourers,223,.9
,69: Other semi-skilled and unskilled workers,1171,4.8
,70: Owner-cultivators 20 + Acres,106,.4
,71: Owner-cultivators 10-20 Acres,117,.5
,72: Owner-cultivators 5-10 Acres,468,1.9
,73: Owner-cultivators 1-5 Acres,1722,7.1
,74: Owner-cultivators 0-1 Acre,578,2.4
,75: Tenant-cultivators 5+ Acres,136,.6
,76: Tenant-cultivators 0-5 Acres,541,2.2
,77: Plantation workers,77,.3
,78: Agricultural labourers rearers,2152,8.9
,79: Other agriculture workers,394,1.6
,80: Live-stock farming,34,.1
,81: Dairy farming,56,.2
,82: Poultry farming,12,.0
,83: Shepherds,21,.1
,84: Forest produce gatherer,3,.0
,85: Hunters and trappers,3,.0
,86: Fishermen,40,.2
,89: Other breeders and cattle,26,.1
,90: House-wife/husband,6937,28.6
,91: Students not seeking employment,1173,4.8
,92: Employment seekers,119,.5
,"93: Unemployed workers, non-workers",266,1.1
,95: Any other occupation,65,.3
,"96: Political activists, missionaries",34,.1
,98: Unidentifiable or unclassifiable,1460,6.0
,99: Not ascertained,341,1.4
,Total,24235,100.0
