col_0,col_1,N,(%),Valid (%)
,11: Deen Dayal Upadhyaya Antyodaya Yojana,27,.1,.2
,12: Deen Dayal Upadhyaya Gram Jyoti Yojana,61,.2,.5
,13: Deen Dayal Upadhyaya Grameen Kaushalya Yojana,14,.1,.1
,14: Deendayal Disabled Rehabilitation Scheme,5,.0,.0
,15: DigiLocker,12,.0,.1
,16: Digital India programme,108,.4,.9
,17: Fasal Bima Yojana (PMFBY),32,.1,.3
,18: Gold Monetization Scheme,7,.0,.1
,19: Gram Sadak Yojana Gramin Awaas Yojana,98,.4,.8
,20: Gramin Bhandaran Yojana,9,.0,.1
,21: Indradanush Scheme,13,.1,.1
,22: Integrated Child Development Services,3,.0,.0
,23: Jan Aarogya Yojana- Ayushman Bharat,29,.1,.2
,24: Jan Aushadhi Yojana (PMJAY),28,.1,.2
,25: Jan Dhan Yojana,463,1.9,3.8
,26: Janani Suraksha Yojana,22,.1,.2
,27: Jawaharlal Nehru National Urban Renewal Mission (Jnnurm),4,.0,.0
,28: Jeevan Jyoti Bima Yojana,12,.0,.1
,29: Kasturba Gandhi Balika Vidyalaya,0,.0,.0
,30: Kaushal Vikas Yojana,57,.2,.5
,31: Khanij Kshetra Kalyan Yojana (PMKKKY),1,.0,.0
,32: Kisan Samman Nidhi (PM-KISAN),89,.4,.7
,33: Kisan Yojna,102,.4,.9
,35: Livestock Insurance Scheme,5,.0,.0
,36: Mahatma Gandhi National Rural Employment Guarantee Act,28,.1,.2
,37: Make in India,127,.5,1.1
,38: Matritva Vandana Yojana,4,.0,.0
,39: Members of Parliament Local Area Development Scheme,2,.0,.0
,40: Midday Meal Scheme,10,.0,.1
,41: Mission Bhagiratha,1,.0,.0
