col_0,col_1,N,(%),Valid (%)
Valid,1: Shia,212,2.1,15.0
,2: Sunni,916,9.2,64.7
,7: Others,34,.3,2.4
,8: Can't say,254,2.5,17.9
,Total,1416,14.1,100.0
Missing,9: N.A.,8594,85.9,
Total,,10010,100.0,
