col_0,col_1,N,(%)
,"136: Balija, Kapu",101,.4
,137: Bunt: Bunt/Bant,4,.0
,138: Naidu,4,.0
,139: Bhuyan,1,.0
,140: Dewan,5,.0
,143: Lingayats,21,.1
,"144: ChitarisBhandaris, Kalavant",2,.0
,"145: Shetty , Bishnoi",42,.2
,146 : Nekara,1,.0
,147: Thigala,13,.1
,199: Other Peasant Proprietors,101,.4
,200: Gujjar,132,.5
,201: Thevar,167,.7
,202: Agaria,33,.1
,210: Yadav,1188,4.9
,220: Kurmi,566,2.3
,221: Mudaliars,72,.3
,"222: Balija, Ediga",138,.6
,223: Sadaru Lingayat,10,.0
,230: Lodh,204,.8
,231: Vanniyars,300,1.2
,232: Munnuru Kapu,48,.2
,235: Koeri,288,1.2
,237: Mudiraj,76,.3
,240: Vokkaliga,204,.8
,241: Kalinga,12,.0
,245: Lingayat,151,.6
,246: Thurpu Kapu,13,.1
,250: Gaderia,81,.3
,251: Koppulu Velama,24,.1
,255: Kunbi,8,.0
,256: Maratha-Kunbi,307,1.3
,260: Koli,64,.3
