col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,"01: Up to 2,000",252,,,2.5,,
,,"02: 2,001 to 5,000",778,,,7.8,,
,,"03: 5,001to 10,000",2093,,,20.9,,
,,"04: 10,001 to 30,000",4208,,,42.0,,
