col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: Hindu,,8028,,,80.1,
,,02: Muslim,,1468,,,14.7,
,,03: Christian,,162,,,1.6,
,,04: Sikh,,184,,,1.8,
,,05: Jain,,16,,,.2,
,,06: Parsi,,5,,,.1,
,,07: Buddhist/neo-Buddhist,,47,,,.5,
,,08: No religion (Atheist),,8,,,.1,
,,98: No response,,101,,,1.0,
,,Total,,10019,,,100.0,
