col_0,col_1,N,(%)
,"29: Other administrative, managerial and clerical workers",60,.2
,30: Big businessmen,69,.3
,31: Medium businessmen,237,1.0
,32: Small businessmen,915,3.8
,33: Petty shopkeeper,331,1.4
,"34: Hawkers, Vendors",71,.3
,35: Sales executives,74,.3
,36: Salespersons,96,.4
,37: Shop Assistants,128,.5
,38: Rentier,14,.1
,39: Other businessmen,100,.4
,40: Waiters,70,.3
,41: Dhobi,33,.1
,"42: Barbers, beauticians",62,.3
,"43: Ayahs, maids, domestic servants",25,.1
,"44: Chowkidars, caretakers",58,.2
,"45: Sweepers, scavengers",53,.2
,49: Other service workers,115,.5
,"50: Mechanics, machine tool operators, drivers",364,1.5
,"51: Electricians, Plumbers",124,.5
,52: Jewellers,36,.1
,53: Tailors,309,1.3
,54: Weavers,46,.2
,55: Shoemakers,27,.1
,56: Blacksmiths,20,.1
,57: Carpenters,112,.5
,59: Other skilled workers,177,.7
,60: Miners,10,.0
,"61: Masons, bricklayers",119,.5
,62: Potters,15,.1
,63: Stone-cutter and carvers,14,.1
,"64: Furniture, basket, mat makers",31,.1
,65: Rickshaw-pullers,67,.3
