col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: Related to employment,,912,,,9.1,,
,,02: Poverty,,803,,,8.0,,
,,03: Ayodhya Ram mandir,,2286,,,22.8,,
