col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,01: Congress/INDIA serious about caste census,,2364,,23.6,,
,,02: Using it as a political tool,,3167,,31.6,,
,,98: Don‟t know,,2844,,28.4,,
,,99: Not aware of Caste Census,,1644,,16.4,,
,,Total,,10019,,100.0,,
