col_0,col_1,N,(%),Valid (%)
Valid,1: Justified,2444,10.1,31.7
,2: Not justified,3066,12.6,39.8
,7: Can't say,1748,7.2,22.7
,8: No response,443,1.8,5.7
,Total,7699,31.8,100.0
Missing,9: N.A.,4495,18.5,
,System,12041,49.7,
,Total,16536,68.2,
Total,,24235,100.0,
