col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Central Government,,2091,,,20.9,,,24.9,,
,,02: State government,,1201,,,12.0,,,14.3,,
,,03: Both,,4633,,,46.2,,,55.1,,
,,98: Don‟t know,,483,,,4.8,,,5.7,,
,,Total,,8409,,,83.9,,,100.0,,
Missing,,99: Not applicable,,1610,,,16.1,,,,,
Total,,,,10019,,,100.0,,,,,
