col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Central Government,,1731,,,17.3,,,23.3,,
,,02: State government,,1219,,,12.2,,,16.4,,
,,03: Both,,4104,,,41.0,,,55.3,,
,,98: Don‟t know,,368,,,3.7,,,5.0,,
,,Total,,7421,,,74.1,,,100.0,,
Missing,,99: Not applicable,,2598,,,25.9,,,,,
Total,,,,10019,,,100.0,,,,,
