col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: Scheduled Caste (SC),,1634,,16.3,,
,,02: Scheduled Tribe (ST),,768,,7.7,,
,,03: Other Backward Caste (OBC),,4621,,46.1,,
,,04: Others (General),,2438,,24.3,,
,,98: Don‟t know,,557,,5.6,,
,,Total,,10019,,100.0,,
