col_0,col_1,N,(%),Valid (%)
,41: PNB/Nirav Modi Scam,3,.0,.0
,43: Agusta Westland issue,0,.0,.0
,44: Farmer or farming problems (generally),266,1.1,1.2
,"45: Low price for crops, produce/MSP",100,.4,.4
,46: Lack of irrigation facilities,72,.3,.3
,47: Rural distress/agricultural crisis,12,.1,.1
,48: Debt due to agriculture/loan waiver,49,.2,.2
,49: Stray cattle issue/cows eating the crop,98,.4,.4
,50: Other agricultural problems,8,.0,.0
,51: Any welfare scheme of the Central,54,.2,.2
,52: Any welfare scheme of the State government,69,.3,.3
,53: MNREGA,3,.0,.0
,54: Government subsidies,15,.1,.1
,55: Money from government in bank account,4,.0,.0
,56: Housing/shelter;,95,.4,.4
,57: Religious identity/protection of my religion,71,.3,.3
,58: Caste identity/protection of my caste,8,.0,.0
,59: Regional/state/linguistic identity/protecting,5,.0,.0
,60: Hindutva,25,.1,.1
,61: Cow protection/cow slaughter issue,14,.1,.1
,62: Mob lynchings,5,.0,.0
,63: Casteism,65,.3,.3
,"64: Communalism, secularism",20,.1,.1
,65: Appeasement of Muslims,2,.0,.0
,66: Neglect of Muslims,4,.0,.0
,67: Ayodhya issue/Ram Mandir-Babri masjid,87,.4,.4
,68: SC-ST Act issue,10,.0,.0
,69: Pakistan related/surgical strike/cross-border terror/Pulwama attack,82,.3,.4
,70: Terrorism,66,.3,.3
,71: Naxalism/Maoism,18,.1,.1
,72: Nationalism/patriotism,148,.6,.7
,73: Reservation/demand for reservation,25,.1,.1
