col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid,col_12
,,,,,,,,,,,(%),
Valid,,01: Increasing unemployment,,1220,,,12.2,,,31.6,,
,,02: Falling/decreasing income,,414,,,4.1,,,10.7,,
,,03: Dealing with corruption/scams,,253,,,2.5,,,6.6,,
,,04: Favouring big business/ particular section of peoples,,175,,,1.7,,,4.5,,
,,05: Price rise/inflation,,759,,,7.6,,,19.7,,
,,06: Poor condition of roads or transport etc.,,38,,,.4,,,1.0,,
,,07: Lack of economic growth,,111,,,1.1,,,2.9,,
,,08: Bad governance,,219,,,2.2,,,5.7,,
,,09: Lack of health care infrastructure,,26,,,.3,,,.7,,
,,10: Lack of Educational infrastructure,,30,,,.3,,,.8,,
,,11: Issue related to Farmers,,83,,,.8,,,2.2,,
,,12: Worsening communalism/religious discrimination,,197,,,2.0,,,5.1,,
,,13: Lack of handling of crimes against women,,29,,,.3,,,.8,,
,,14: Bad situation of law and order,,35,,,.3,,,.9,,
,,15: CAA (Citizenship Amendment Act),,46,,,.5,,,1.2,,
,,97: Other issue not mentioned above,,54,,,.5,,,1.4,,
,,98: Can‟t say/don‟t know,,174,,,1.7,,,4.5,,
,,Total,,3863,,,38.6,,,100.0,,
Missing,,99: Not applicable,,6156,,,61.4,,,,,
Total,,,,10019,,,100.0,,,,,
